subgrupo,ano,obitos
1.1. Reduzível pelas ações de imunização,2006,2
1.1. Reduzível pelas ações de imunização,2007,3
1.1. Reduzível pelas ações de imunização,2008,3
1.1. Reduzível pelas ações de imunização,2009,1
1.1. Reduzível pelas ações de imunização,2010,4
1.1. Reduzível pelas ações de imunização,2011,4
1.1. Reduzível pelas ações de imunização,2012,5
1.1. Reduzível pelas ações de imunização,2013,0
1.1. Reduzível pelas ações de imunização,2014,5
1.1. Reduzível pelas ações de imunização,2015,6
1.1. Reduzível pelas ações de imunização,2016,1
1.1. Reduzível pelas ações de imunização,2017,3
1.1. Reduzível pelas ações de imunização,2018,1
1.1. Reduzível pelas ações de imunização,2019,2
1.1. Reduzível pelas ações de imunização,2020,1
1.1. Reduzível pelas ações de imunização,2021,1
1.1. Reduzível pelas ações de imunização,2022,4
1.1. Reduzível pelas ações de imunização,2023,1
1.1. Reduzível pelas ações de imunização,2024,0
1.1. Reduzível pelas ações de imunização,2025,2
1.2.1. Red por at à mulher na gestação,2006,325
1.2.1. Red por at à mulher na gestação,2007,300
1.2.1. Red por at à mulher na gestação,2008,308
1.2.1. Red por at à mulher na gestação,2009,370
1.2.1. Red por at à mulher na gestação,2010,351
1.2.1. Red por at à mulher na gestação,2011,334
1.2.1. Red por at à mulher na gestação,2012,366
1.2.1. Red por at à mulher na gestação,2013,390
1.2.1. Red por at à mulher na gestação,2014,325
1.2.1. Red por at à mulher na gestação,2015,352
1.2.1. Red por at à mulher na gestação,2016,339
1.2.1. Red por at à mulher na gestação,2017,289
1.2.1. Red por at à mulher na gestação,2018,312
1.2.1. Red por at à mulher na gestação,2019,273
1.2.1. Red por at à mulher na gestação,2020,304
1.2.1. Red por at à mulher na gestação,2021,254
1.2.1. Red por at à mulher na gestação,2022,219
1.2.1. Red por at à mulher na gestação,2023,228
1.2.1. Red por at à mulher na gestação,2024,241
1.2.1. Red por at à mulher na gestação,2025,266
1.2.2. Red por at à mulher no parto,2006,85
1.2.2. Red por at à mulher no parto,2007,112
1.2.2. Red por at à mulher no parto,2008,112
1.2.2. Red por at à mulher no parto,2009,109
1.2.2. Red por at à mulher no parto,2010,87
1.2.2. Red por at à mulher no parto,2011,84
1.2.2. Red por at à mulher no parto,2012,83
1.2.2. Red por at à mulher no parto,2013,81
1.2.2. Red por at à mulher no parto,2014,77
1.2.2. Red por at à mulher no parto,2015,94
1.2.2. Red por at à mulher no parto,2016,76
1.2.2. Red por at à mulher no parto,2017,86
1.2.2. Red por at à mulher no parto,2018,101
1.2.2. Red por at à mulher no parto,2019,103
1.2.2. Red por at à mulher no parto,2020,91
1.2.2. Red por at à mulher no parto,2021,87
1.2.2. Red por at à mulher no parto,2022,70
1.2.2. Red por at à mulher no parto,2023,74
1.2.2. Red por at à mulher no parto,2024,53
1.2.2. Red por at à mulher no parto,2025,67
1.2.3. Red por at ao recém-nascido,2006,204
1.2.3. Red por at ao recém-nascido,2007,149
1.2.3. Red por at ao recém-nascido,2008,174
1.2.3. Red por at ao recém-nascido,2009,162
1.2.3. Red por at ao recém-nascido,2010,134
1.2.3. Red por at ao recém-nascido,2011,120
1.2.3. Red por at ao recém-nascido,2012,126
1.2.3. Red por at ao recém-nascido,2013,141
1.2.3. Red por at ao recém-nascido,2014,143
1.2.3. Red por at ao recém-nascido,2015,163
1.2.3. Red por at ao recém-nascido,2016,158
1.2.3. Red por at ao recém-nascido,2017,132
1.2.3. Red por at ao recém-nascido,2018,117
1.2.3. Red por at ao recém-nascido,2019,127
1.2.3. Red por at ao recém-nascido,2020,108
1.2.3. Red por at ao recém-nascido,2021,129
1.2.3. Red por at ao recém-nascido,2022,104
1.2.3. Red por at ao recém-nascido,2023,95
1.2.3. Red por at ao recém-nascido,2024,54
1.2.3. Red por at ao recém-nascido,2025,55
1.3. Red por ações de diag e trat adequado,2006,164
1.3. Red por ações de diag e trat adequado,2007,161
1.3. Red por ações de diag e trat adequado,2008,148
1.3. Red por ações de diag e trat adequado,2009,154
1.3. Red por ações de diag e trat adequado,2010,142
1.3. Red por ações de diag e trat adequado,2011,149
1.3. Red por ações de diag e trat adequado,2012,145
1.3. Red por ações de diag e trat adequado,2013,150
1.3. Red por ações de diag e trat adequado,2014,106
1.3. Red por ações de diag e trat adequado,2015,127
1.3. Red por ações de diag e trat adequado,2016,141
1.3. Red por ações de diag e trat adequado,2017,113
1.3. Red por ações de diag e trat adequado,2018,118
1.3. Red por ações de diag e trat adequado,2019,114
1.3. Red por ações de diag e trat adequado,2020,64
1.3. Red por ações de diag e trat adequado,2021,77
1.3. Red por ações de diag e trat adequado,2022,97
1.3. Red por ações de diag e trat adequado,2023,129
1.3. Red por ações de diag e trat adequado,2024,91
1.3. Red por ações de diag e trat adequado,2025,75
1.4. Red por ações promoção vinc a atenção,2006,99
1.4. Red por ações promoção vinc a atenção,2007,106
1.4. Red por ações promoção vinc a atenção,2008,112
1.4. Red por ações promoção vinc a atenção,2009,118
1.4. Red por ações promoção vinc a atenção,2010,119
1.4. Red por ações promoção vinc a atenção,2011,101
1.4. Red por ações promoção vinc a atenção,2012,118
1.4. Red por ações promoção vinc a atenção,2013,88
1.4. Red por ações promoção vinc a atenção,2014,103
1.4. Red por ações promoção vinc a atenção,2015,110
1.4. Red por ações promoção vinc a atenção,2016,100
1.4. Red por ações promoção vinc a atenção,2017,105
1.4. Red por ações promoção vinc a atenção,2018,89
1.4. Red por ações promoção vinc a atenção,2019,85
1.4. Red por ações promoção vinc a atenção,2020,89
1.4. Red por ações promoção vinc a atenção,2021,107
1.4. Red por ações promoção vinc a atenção,2022,84
1.4. Red por ações promoção vinc a atenção,2023,96
1.4. Red por ações promoção vinc a atenção,2024,85
1.4. Red por ações promoção vinc a atenção,2025,92
2. Causas mal definidas,2006,99
2. Causas mal definidas,2007,67
2. Causas mal definidas,2008,61
2. Causas mal definidas,2009,48
2. Causas mal definidas,2010,72
2. Causas mal definidas,2011,65
2. Causas mal definidas,2012,54
2. Causas mal definidas,2013,52
2. Causas mal definidas,2014,43
2. Causas mal definidas,2015,46
2. Causas mal definidas,2016,44
2. Causas mal definidas,2017,40
2. Causas mal definidas,2018,30
2. Causas mal definidas,2019,36
2. Causas mal definidas,2020,33
2. Causas mal definidas,2021,34
2. Causas mal definidas,2022,30
2. Causas mal definidas,2023,15
2. Causas mal definidas,2024,19
2. Causas mal definidas,2025,22
3. Demais causas (não claramente evitáveis),2006,375
3. Demais causas (não claramente evitáveis),2007,388
3. Demais causas (não claramente evitáveis),2008,392
3. Demais causas (não claramente evitáveis),2009,387
3. Demais causas (não claramente evitáveis),2010,395
3. Demais causas (não claramente evitáveis),2011,392
3. Demais causas (não claramente evitáveis),2012,381
3. Demais causas (não claramente evitáveis),2013,377
3. Demais causas (não claramente evitáveis),2014,376
3. Demais causas (não claramente evitáveis),2015,354
3. Demais causas (não claramente evitáveis),2016,382
3. Demais causas (não claramente evitáveis),2017,367
3. Demais causas (não claramente evitáveis),2018,351
