bairro,ano,óbitos-gravidez,codigo
SAUDE,2006,0,001
GAMBOA,2006,0,002
CAJU,2006,0,004
CENTRO,2006,0,005
CATUMBI,2006,1,006
RIO COMPRIDO,2006,0,007
CIDADE NOVA,2006,0,008
ESTACIO,2006,0,009
SAO CRISTOVAO,2006,2,010
MANGUEIRA,2006,1,011
BENFICA,2006,1,012
SANTA TERESA,2006,1,014
FLAMENGO,2006,0,015
BOTAFOGO,2006,2,020
COPACABANA,2006,1,024
IPANEMA,2006,1,025
GAVEA,2006,1,029
VIDIGAL,2006,0,030
PRACA DA BANDEIRA,2006,0,032
TIJUCA,2006,2,033
MARACANA,2006,0,035
VILA ISABEL,2006,0,036
ANDARAI,2006,0,037
GRAJAU,2006,2,038
MANGUINHOS,2006,0,039
BONSUCESSO,2006,2,040
RAMOS,2006,0,041
OLARIA,2006,0,042
PENHA,2006,1,043
PENHA CIRCULAR,2006,0,044
BRAS DE PINA,2006,0,045
CORDOVIL,2006,1,046
PARADA DE LUCAS,2006,0,047
VIGARIO GERAL,2006,1,048
JARDIM AMERICA,2006,0,049
HIGIENOPOLIS,2006,0,050
JACARE,2006,0,051
DEL CASTILHO,2006,2,053
INHAUMA,2006,0,054
ENGENHO DA RAINHA,2006,0,055
TOMAS COELHO,2006,0,056
ROCHA,2006,0,058
ENGENHO NOVO,2006,1,061
LINS DE VASCONCELOS,2006,0,062
TODOS OS SANTOS,2006,0,064
CACHAMBI,2006,1,065
ENGENHO DE DENTRO,2006,0,066
PIEDADE,2006,0,069
PILARES,2006,0,071
VILA KOSMOS,2006,0,072
VICENTE DE CARVALHO,2006,0,073
VILA DA PENHA,2006,0,074
VISTA ALEGRE,2006,1,075
IRAJA,2006,1,076
COLEGIO,2006,1,077
QUINTINO BOCAIUVA,2006,0,079
CAVALCANTE,2006,1,080
ENGENHEIRO LEAL,2006,1,081
MADUREIRA,2006,1,083
ROCHA MIRANDA,2006,0,086
OSWALDO CRUZ,2006,0,088
BENTO RIBEIRO,2006,0,089
MARECHAL HERMES,2006,1,090
CACUIA,2006,0,093
PITANGUEIRAS,2006,0,094
FREGUESIA-ILHA,2006,0,098
JARDIM GUANABARA,2006,0,099
JARDIM CARIOCA,2006,1,100
TAUA,2006,0,101
MONERO,2006,0,102
PORTUGUESA,2006,0,103
GALEAO,2006,0,104
GUADALUPE,2006,1,106
ANCHIETA,2006,2,107
RICARDO ALBUQUERQUE,2006,1,109
COELHO NETO,2006,0,110
ACARI,2006,1,111
BARROS FILHO,2006,0,112
COSTA BARROS,2006,0,113
PAVUNA,2006,1,114
JACAREPAGUA,2006,1,115
ANIL,2006,1,116
GARDENIA AZUL,2006,1,117
CIDADE DE DEUS,2006,0,118
CURICICA,2006,0,119
FREGUESIA-JPA,2006,0,120
TAQUARA,2006,0,122
TANQUE,2006,0,123
PRACA SECA,2006,0,124
VILA VALQUEIRE,2006,0,125
ITANHANGA,2006,0,127
BARRA DA TIJUCA,2006,0,128
VARGEM PEQUENA,2006,0,130
RECREIO BANDEIRANTES,2006,0,132
VILA MILITAR,2006,0,135
MAGALHAES BASTOS,2006,0,138
REALENGO,2006,2,139
