bairro,ano,óbitos-puerpério,codigo
GAMBOA,2006,0,002
SANTO CRISTO,2006,1,003
CAJU,2006,0,004
CENTRO,2006,1,005
CATUMBI,2006,0,006
RIO COMPRIDO,2006,0,007
CIDADE NOVA,2006,0,008
ESTACIO,2006,0,009
SAO CRISTOVAO,2006,2,010
MANGUEIRA,2006,0,011
BENFICA,2006,0,012
SANTA TERESA,2006,0,014
FLAMENGO,2006,0,015
LARANJEIRAS,2006,0,017
CATETE,2006,0,018
COSME VELHO,2006,0,019
BOTAFOGO,2006,1,020
URCA,2006,1,022
LEME,2006,1,023
COPACABANA,2006,0,024
JARDIM BOTANICO,2006,0,028
GAVEA,2006,1,029
VIDIGAL,2006,0,030
PRACA DA BANDEIRA,2006,0,032
TIJUCA,2006,1,033
ALTO DA BOA VISTA,2006,0,034
MARACANA,2006,0,035
VILA ISABEL,2006,0,036
GRAJAU,2006,0,038
MANGUINHOS,2006,1,039
BONSUCESSO,2006,0,040
RAMOS,2006,0,041
OLARIA,2006,0,042
PENHA,2006,2,043
PENHA CIRCULAR,2006,0,044
BRAS DE PINA,2006,0,045
CORDOVIL,2006,1,046
PARADA DE LUCAS,2006,0,047
VIGARIO GERAL,2006,1,048
JARDIM AMERICA,2006,1,049
HIGIENOPOLIS,2006,0,050
JACARE,2006,0,051
MARIA DA GRACA,2006,1,052
DEL CASTILHO,2006,1,053
INHAUMA,2006,0,054
ENGENHO DA RAINHA,2006,0,055
TOMAS COELHO,2006,0,056
SAO FRANCISCO XAVIER,2006,0,057
ROCHA,2006,0,058
RIACHUELO,2006,0,059
SAMPAIO,2006,0,060
ENGENHO NOVO,2006,0,061
LINS DE VASCONCELOS,2006,0,062
MEIER,2006,0,063
ENGENHO DE DENTRO,2006,1,066
ENCANTADO,2006,0,068
PIEDADE,2006,0,069
PILARES,2006,0,071
VILA KOSMOS,2006,0,072
VICENTE DE CARVALHO,2006,1,073
VILA DA PENHA,2006,0,074
VISTA ALEGRE,2006,1,075
IRAJA,2006,0,076
COLEGIO,2006,0,077
CAMPINHO,2006,0,078
QUINTINO BOCAIUVA,2006,0,079
CAVALCANTE,2006,0,080
ENGENHEIRO LEAL,2006,0,081
CASCADURA,2006,0,082
MADUREIRA,2006,0,083
VAZ LOBO,2006,0,084
TURIACU,2006,0,085
ROCHA MIRANDA,2006,0,086
HONORIO GURGEL,2006,1,087
OSWALDO CRUZ,2006,0,088
BENTO RIBEIRO,2006,0,089
MARECHAL HERMES,2006,1,090
ZUMBI,2006,1,092
CACUIA,2006,0,093
BANCARIOS,2006,0,097
FREGUESIA-ILHA,2006,0,098
JARDIM GUANABARA,2006,0,099
JARDIM CARIOCA,2006,1,100
TAUA,2006,0,101
GUADALUPE,2006,1,106
ANCHIETA,2006,1,107
