,ano,magreza_acentuada_bruto,magreza_acentuada_percentual,magreza_bruto,magreza_percentual,eutrofia_bruto,eutrofia_percentual,risco sobrepeso_bruto,risco sobrepeso_percentual,sobrepeso_bruto,sobrepeso_percentual,obesidade_bruto,obesidade_percentual,total,Percent. sobrepeso total
0,2008,526,2.98%,336,1.9%,10835,61.32%,3505,19.83%,1419,8.03,1050,5.94,17671,13.969999999999999
1,2009,679,2.93%,514,2.22%,13825,59.6%,4551,19.62%,2004,8.64,1623,0.07,23196,8.71
2,2010,848,3.63%,642,2.75%,13652,58.41%,4526,19.37%,1948,8.33,1756,7.51,23372,15.84
3,2011,713,3.87%,540,2.93%,10154,55.1%,3599,19.53%,1638,8.89,1785,9.69,18429,18.58
4,2012,1013,3.63%,738,2.65%,15669,56.22%,5443,19.53%,2599,9.33,2409,8.64,27871,17.97
5,2013,2371,4.98%,1432,3.01%,24549,51.53%,9052,0.19,4819,10.12,5413,11.36,47636,21.479999999999997
6,2014,2650,4.57%,1744,3.01%,30849,53.24%,11581,19.99%,5665,9.78,5452,9.41,57941,19.189999999999998
7,2015,2160,3.09%,1917,2.74%,40054,57.28%,13823,19.77%,6527,9.33,5441,7.78,69922,17.11
8,2016,1950,3.61%,1524,2.82%,30532,56.45%,10046,18.57%,4897,9.05,5141,9.5,54090,18.55
9,2017,1856,3.01%,1389,2.25%,34727,56.25%,12365,20.03%,5651,9.15,5753,9.32,61741,18.47
10,2018,7705,9.62%,2334,2.92%,41305,51.59%,13717,17.13%,6383,7.97,8623,10.77,80067,18.74
11,2019,4145,4.36%,2789,2.93%,56215,59.08%,17025,17.89%,7640,8.03,7330,7.7,95144,15.73
12,2020,3748,2.68%,3758,2.68%,89019,63.53%,25857,18.45%,10224,7.3,7505,5.36,140111,12.66
13,2021,4204,3.02%,4052,2.91%,88592,63.57%,25368,18.2%,9611,6.9,7531,5.4,139358,12.3
14,2022,3559,2.34%,3679,2.42%,100188,65.77%,25412,16.68%,10336,6.79,9154,6.01,152328,12.8
15,2023,3079,1.57%,4153,2.12%,130109,66.46%,33045,16.88%,14095,7.2,11289,5.77,195770,12.969999999999999
16,2024,2921,1.38%,4323,2.04%,138845,65.42%,37423,17.63%,16503,7.78,12223,5.76,212238,13.54
17,2025,3542,1.66%,4791,2.24%,127884,59.9%,41227,19.31%,20388,9.55,15674,7.34,213506,16.89
18,2026,1949,1.61%,3266,2.7%,68972,56.92%,25982,21.44%,12333,10.18,8667,7.15,121169,17.33
