,Bairro Residencia,ano,Nascidos abaixo peso,percentual abaixo do peso,codigo,bairro
3211,001 SAUDE,2025,5,13.88888888888889,001,SAUDE
3212,002 GAMBOA,2025,15,10.0,002,GAMBOA
3213,003 SANTO CRISTO,2025,17,13.178294573643413,003,SANTO CRISTO
3214,004 CAJU,2025,34,11.147540983606557,004,CAJU
3215,005 CENTRO,2025,22,11.34020618556701,005,CENTRO
3216,006 CATUMBI,2025,20,14.925373134328357,006,CATUMBI
3217,007 RIO COMPRIDO,2025,23,6.59025787965616,007,RIO COMPRIDO
3218,008 CIDADE NOVA,2025,5,11.904761904761903,008,CIDADE NOVA
3219,009 ESTACIO,2025,17,11.11111111111111,009,ESTACIO
3220,010 SAO CRISTOVAO,2025,32,11.03448275862069,010,SAO CRISTOVAO
3221,011 MANGUEIRA,2025,28,14.07035175879397,011,MANGUEIRA
3222,012 BENFICA,2025,33,9.53757225433526,012,BENFICA
3223,013 PAQUETA,2025,3,10.0,013,PAQUETA
3224,014 SANTA TERESA,2025,33,10.443037974683545,014,SANTA TERESA
3225,015 FLAMENGO,2025,20,7.2992700729927,015,FLAMENGO
3226,016 GLORIA,2025,2,4.25531914893617,016,GLORIA
3227,017 LARANJEIRAS,2025,16,7.766990291262135,017,LARANJEIRAS
3228,018 CATETE,2025,6,4.137931034482759,018,CATETE
3229,019 COSME VELHO,2025,11,15.942028985507244,019,COSME VELHO
3230,020 BOTAFOGO,2025,42,7.865168539325842,020,BOTAFOGO
3231,021 HUMAITA,2025,16,23.18840579710145,021,HUMAITA
3232,022 URCA,2025,4,7.017543859649122,022,URCA
3233,023 LEME,2025,8,8.51063829787234,023,LEME
3234,024 COPACABANA,2025,89,11.528497409326425,024,COPACABANA
3235,025 IPANEMA,2025,30,12.145748987854251,025,IPANEMA
3236,026 LEBLON,2025,23,8.363636363636363,026,LEBLON
3237,027 LAGOA,2025,14,11.38211382113821,027,LAGOA
3238,028 JARDIM BOTANICO,2025,11,12.790697674418606,028,JARDIM BOTANICO
3239,029 GAVEA,2025,12,8.633093525179856,029,GAVEA
3240,030 VIDIGAL,2025,11,7.586206896551724,030,VIDIGAL
3241,031 SAO CONRADO,2025,7,8.235294117647058,031,SAO CONRADO
3242,032 PRACA DA BANDEIRA,2025,2,3.508771929824561,032,PRACA DA BANDEIRA
3243,033 TIJUCA,2025,95,10.095642933049948,033,TIJUCA
3244,034 ALTO DA BOA VISTA,2025,6,8.955223880597014,034,ALTO DA BOA VISTA
3245,035 MARACANA,2025,9,6.870229007633588,035,MARACANA
3246,036 VILA ISABEL,2025,48,10.835214446952596,036,VILA ISABEL
3247,037 ANDARAI,2025,23,11.004784688995215,037,ANDARAI
3248,038 GRAJAU,2025,17,10.119047619047619,038,GRAJAU
3249,039 MANGUINHOS,2025,41,10.594315245478036,039,MANGUINHOS
3250,040 BONSUCESSO,2025,36,9.183673469387756,040,BONSUCESSO
3251,041 RAMOS,2025,41,8.559498956158663,041,RAMOS
3252,042 OLARIA,2025,46,11.057692307692307,042,OLARIA
3253,043 PENHA,2025,57,9.35960591133005,043,PENHA
3254,044 PENHA CIRCULAR,2025,48,13.48314606741573,044,PENHA CIRCULAR
3255,045 BRAS DE PINA,2025,43,11.813186813186812,045,BRAS DE PINA
3256,046 CORDOVIL,2025,38,12.025316455696203,046,CORDOVIL
3257,047 PARADA DE LUCAS,2025,37,14.50980392156863,047,PARADA DE LUCAS
3258,048 VIGARIO GERAL,2025,39,11.016949152542372,048,VIGARIO GERAL
3259,049 JARDIM AMERICA,2025,28,10.526315789473683,049,JARDIM AMERICA
3260,050 HIGIENOPOLIS,2025,16,13.559322033898304,050,HIGIENOPOLIS
3261,051 JACARE,2025,12,7.228915662650602,051,JACARE
3262,052 MARIA DA GRACA,2025,9,9.0,052,MARIA DA GRACA
3263,053 DEL CASTILHO,2025,24,10.16949152542373,053,DEL CASTILHO
3264,054 INHAUMA,2025,55,10.204081632653061,054,INHAUMA
3265,055 ENGENHO DA RAINHA,2025,27,12.442396313364055,055,ENGENHO DA RAINHA
3266,056 TOMAS COELHO,2025,16,8.37696335078534,056,TOMAS COELHO
3267,057 SAO FRANCISCO XAVIER,2025,11,20.0,057,SAO FRANCISCO XAVIER
3268,058 ROCHA,2025,16,8.98876404494382,058,ROCHA
3269,059 RIACHUELO,2025,6,9.090909090909092,059,RIACHUELO
3270,060 SAMPAIO,2025,15,15.151515151515152,060,SAMPAIO
3271,061 ENGENHO NOVO,2025,41,11.849710982658959,061,ENGENHO NOVO
3272,062 LINS DE VASCONCELOS,2025,44,14.473684210526317,062,LINS DE VASCONCELOS
3273,063 MEIER,2025,25,10.121457489878543,063,MEIER
3274,064 TODOS OS SANTOS,2025,14,11.11111111111111,064,TODOS OS SANTOS
3275,065 CACHAMBI,2025,32,11.678832116788321,065,CACHAMBI
3276,066 ENGENHO DE DENTRO,2025,37,10.541310541310542,066,ENGENHO DE DENTRO
3277,067 AGUA SANTA,2025,4,7.017543859649122,067,AGUA SANTA
3278,068 ENCANTADO,2025,10,12.345679012345679,068,ENCANTADO
3279,069 PIEDADE,2025,33,10.060975609756099,069,PIEDADE
3280,070 ABOLICAO,2025,7,6.422018348623854,070,ABOLICAO
3281,071 PILARES,2025,21,10.99476439790576,071,PILARES
3282,072 VILA KOSMOS,2025,6,5.5045871559633035,072,VILA KOSMOS
3283,073 VICENTE DE CARVALHO,2025,15,7.936507936507936,073,VICENTE DE CARVALHO
3284,074 VILA DA PENHA,2025,10,6.756756756756757,074,VILA DA PENHA
3285,075 VISTA ALEGRE,2025,5,10.0,075,VISTA ALEGRE
3286,076 IRAJA,2025,57,8.345534407027818,076,IRAJA
3287,077 COLEGIO,2025,32,10.95890410958904,077,COLEGIO
3288,078 CAMPINHO,2025,14,14.736842105263156,078,CAMPINHO
3289,079 QUINTINO BOCAIUVA,2025,24,11.881188118811881,079,QUINTINO BOCAIUVA
3290,080 CAVALCANTE,2025,18,12.413793103448276,080,CAVALCANTE
3291,081 ENGENHEIRO LEAL,2025,6,11.76470588235294,081,ENGENHEIRO LEAL
3292,082 CASCADURA,2025,22,9.053497942386832,082,CASCADURA
3293,083 MADUREIRA,2025,39,10.317460317460316,083,MADUREIRA
3294,084 VAZ LOBO,2025,16,11.510791366906476,084,VAZ LOBO
3295,085 TURIACU,2025,13,9.558823529411764,085,TURIACU
3296,086 ROCHA MIRANDA,2025,28,8.641975308641975,086,ROCHA MIRANDA
3297,087 HONORIO GURGEL,2025,24,13.114754098360656,087,HONORIO GURGEL
3298,088 OSWALDO CRUZ,2025,16,8.16326530612245,088,OSWALDO CRUZ
3299,089 BENTO RIBEIRO,2025,28,9.333333333333334,089,BENTO RIBEIRO
3300,090 MARECHAL HERMES,2025,35,10.479041916167663,090,MARECHAL HERMES
3301,091 RIBEIRA,2025,2,8.695652173913043,091,RIBEIRA
3302,092 ZUMBI,2025,2,10.0,092,ZUMBI
3303,093 CACUIA,2025,9,10.588235294117647,093,CACUIA
3304,094 PITANGUEIRAS,2025,6,7.894736842105263,094,PITANGUEIRAS
3305,095 PRAIA DA BANDEIRA,2025,1,2.7027027027027026,095,PRAIA DA BANDEIRA
3306,096 COCOTA,2025,4,7.547169811320755,096,COCOTA
3307,097 BANCARIOS,2025,15,11.363636363636363,097,BANCARIOS
3308,098 FREGUESIA-ILHA,2025,21,10.99476439790576,098,FREGUESIA-ILHA
3309,099 JARDIM GUANABARA,2025,11,6.470588235294119,099,JARDIM GUANABARA
3310,100 JARDIM CARIOCA,2025,21,10.552763819095476,100,JARDIM CARIOCA
3311,101 TAUA,2025,21,9.90566037735849,101,TAUA
3312,102 MONERO,2025,4,10.256410256410255,102,MONERO
3313,103 PORTUGUESA,2025,15,11.811023622047244,103,PORTUGUESA
3314,104 GALEAO,2025,19,7.661290322580645,104,GALEAO
3315,105 CIDADE UNIVERSITARIA,2025,5,29.411764705882355,105,CIDADE UNIVERSITARIA
3316,106 GUADALUPE,2025,35,9.859154929577464,106,GUADALUPE
3317,107 ANCHIETA,2025,66,10.679611650485436,107,ANCHIETA
3318,108 PARQUE ANCHIETA,2025,17,11.805555555555555,108,PARQUE ANCHIETA
3319,109 RICARDO ALBUQUERQUE,2025,31,11.83206106870229,109,RICARDO ALBUQUERQUE
3320,110 COELHO NETO,2025,28,9.859154929577464,110,COELHO NETO
3321,111 ACARI,2025,36,10.315186246418339,111,ACARI
3322,112 BARROS FILHO,2025,21,12.804878048780488,112,BARROS FILHO
3323,113 COSTA BARROS,2025,40,9.975062344139651,113,COSTA BARROS
3324,114 PAVUNA,2025,95,10.698198198198199,114,PAVUNA
3325,115 JACAREPAGUA,2025,186,9.904153354632587,115,JACAREPAGUA
3326,116 ANIL,2025,37,9.814323607427056,116,ANIL
3327,117 GARDENIA AZUL,2025,37,9.25,117,GARDENIA AZUL
3328,118 CIDADE DE DEUS,2025,69,12.568306010928962,118,CIDADE DE DEUS
3329,119 CURICICA,2025,43,11.653116531165312,119,CURICICA
3330,120 FREGUESIA-JPA,2025,49,8.860759493670885,120,FREGUESIA-JPA
3331,121 PECHINCHA,2025,29,8.55457227138643,121,PECHINCHA
3332,122 TAQUARA,2025,86,8.55721393034826,122,TAQUARA
3333,123 TANQUE,2025,47,12.433862433862434,123,TANQUE
3334,124 PRACA SECA,2025,66,11.64021164021164,124,PRACA SECA
3335,125 VILA VALQUEIRE,2025,34,12.454212454212454,125,VILA VALQUEIRE
3336,126 JOA,2025,0,0.0,126,JOA
3337,127 ITANHANGA,2025,59,7.458912768647282,127,ITANHANGA
3338,128 BARRA DA TIJUCA,2025,88,7.8923766816143495,128,BARRA DA TIJUCA
3339,129 CAMORIM,2025,3,8.571428571428571,129,CAMORIM
3340,130 VARGEM PEQUENA,2025,37,11.384615384615385,130,VARGEM PEQUENA
3341,131 VARGEM GRANDE,2025,25,9.803921568627452,131,VARGEM GRANDE
3342,132 RECREIO BANDEIRANTES,2025,105,8.433734939759036,132,RECREIO BANDEIRANTES
3343,133 GRUMARI,2025,0,,133,GRUMARI
3344,134 DEODORO,2025,12,9.67741935483871,134,DEODORO
3345,135 VILA MILITAR,2025,14,12.962962962962962,135,VILA MILITAR
3346,136 CAMPO DOS AFONSOS,2025,3,8.333333333333332,136,CAMPO DOS AFONSOS
3347,137 JARDIM SULACAP,2025,9,6.8181818181818175,137,JARDIM SULACAP
3348,138 MAGALHAES BASTOS,2025,34,16.346153846153847,138,MAGALHAES BASTOS
3349,139 REALENGO,2025,155,10.594668489405331,139,REALENGO
3350,140 PADRE MIGUEL,2025,54,10.344827586206897,140,PADRE MIGUEL
3351,141 BANGU,2025,200,10.116337885685383,141,BANGU
