,Bairro Residencia,variable,value,codigo,bairro
3211,001 SAUDE,2025,36,001,SAUDE
3212,002 GAMBOA,2025,150,002,GAMBOA
3213,003 SANTO CRISTO,2025,129,003,SANTO CRISTO
3214,004 CAJU,2025,305,004,CAJU
3215,005 CENTRO,2025,194,005,CENTRO
3216,006 CATUMBI,2025,134,006,CATUMBI
3217,007 RIO COMPRIDO,2025,349,007,RIO COMPRIDO
3218,008 CIDADE NOVA,2025,42,008,CIDADE NOVA
3219,009 ESTACIO,2025,153,009,ESTACIO
3220,010 SAO CRISTOVAO,2025,290,010,SAO CRISTOVAO
3221,011 MANGUEIRA,2025,199,011,MANGUEIRA
3222,012 BENFICA,2025,346,012,BENFICA
3223,013 PAQUETA,2025,30,013,PAQUETA
3224,014 SANTA TERESA,2025,316,014,SANTA TERESA
3225,015 FLAMENGO,2025,274,015,FLAMENGO
3226,016 GLORIA,2025,47,016,GLORIA
3227,017 LARANJEIRAS,2025,206,017,LARANJEIRAS
3228,018 CATETE,2025,145,018,CATETE
3229,019 COSME VELHO,2025,69,019,COSME VELHO
3230,020 BOTAFOGO,2025,534,020,BOTAFOGO
3231,021 HUMAITA,2025,69,021,HUMAITA
3232,022 URCA,2025,57,022,URCA
3233,023 LEME,2025,94,023,LEME
3234,024 COPACABANA,2025,772,024,COPACABANA
3235,025 IPANEMA,2025,247,025,IPANEMA
3236,026 LEBLON,2025,275,026,LEBLON
3237,027 LAGOA,2025,123,027,LAGOA
3238,028 JARDIM BOTANICO,2025,86,028,JARDIM BOTANICO
3239,029 GAVEA,2025,139,029,GAVEA
3240,030 VIDIGAL,2025,145,030,VIDIGAL
3241,031 SAO CONRADO,2025,85,031,SAO CONRADO
3242,032 PRACA DA BANDEIRA,2025,57,032,PRACA DA BANDEIRA
3243,033 TIJUCA,2025,941,033,TIJUCA
3244,034 ALTO DA BOA VISTA,2025,67,034,ALTO DA BOA VISTA
3245,035 MARACANA,2025,131,035,MARACANA
3246,036 VILA ISABEL,2025,443,036,VILA ISABEL
3247,037 ANDARAI,2025,209,037,ANDARAI
3248,038 GRAJAU,2025,168,038,GRAJAU
3249,039 MANGUINHOS,2025,387,039,MANGUINHOS
3250,040 BONSUCESSO,2025,392,040,BONSUCESSO
3251,041 RAMOS,2025,479,041,RAMOS
3252,042 OLARIA,2025,416,042,OLARIA
3253,043 PENHA,2025,609,043,PENHA
3254,044 PENHA CIRCULAR,2025,356,044,PENHA CIRCULAR
3255,045 BRAS DE PINA,2025,364,045,BRAS DE PINA
3256,046 CORDOVIL,2025,316,046,CORDOVIL
3257,047 PARADA DE LUCAS,2025,255,047,PARADA DE LUCAS
3258,048 VIGARIO GERAL,2025,354,048,VIGARIO GERAL
3259,049 JARDIM AMERICA,2025,266,049,JARDIM AMERICA
3260,050 HIGIENOPOLIS,2025,118,050,HIGIENOPOLIS
3261,051 JACARE,2025,166,051,JACARE
3262,052 MARIA DA GRACA,2025,100,052,MARIA DA GRACA
3263,053 DEL CASTILHO,2025,236,053,DEL CASTILHO
3264,054 INHAUMA,2025,539,054,INHAUMA
3265,055 ENGENHO DA RAINHA,2025,217,055,ENGENHO DA RAINHA
3266,056 TOMAS COELHO,2025,191,056,TOMAS COELHO
3267,057 SAO FRANCISCO XAVIER,2025,55,057,SAO FRANCISCO XAVIER
3268,058 ROCHA,2025,178,058,ROCHA
3269,059 RIACHUELO,2025,66,059,RIACHUELO
3270,060 SAMPAIO,2025,99,060,SAMPAIO
3271,061 ENGENHO NOVO,2025,346,061,ENGENHO NOVO
3272,062 LINS DE VASCONCELOS,2025,304,062,LINS DE VASCONCELOS
3273,063 MEIER,2025,247,063,MEIER
3274,064 TODOS OS SANTOS,2025,126,064,TODOS OS SANTOS
3275,065 CACHAMBI,2025,274,065,CACHAMBI
3276,066 ENGENHO DE DENTRO,2025,351,066,ENGENHO DE DENTRO
3277,067 AGUA SANTA,2025,57,067,AGUA SANTA
3278,068 ENCANTADO,2025,81,068,ENCANTADO
3279,069 PIEDADE,2025,328,069,PIEDADE
3280,070 ABOLICAO,2025,109,070,ABOLICAO
3281,071 PILARES,2025,191,071,PILARES
3282,072 VILA KOSMOS,2025,109,072,VILA KOSMOS
3283,073 VICENTE DE CARVALHO,2025,189,073,VICENTE DE CARVALHO
3284,074 VILA DA PENHA,2025,148,074,VILA DA PENHA
3285,075 VISTA ALEGRE,2025,50,075,VISTA ALEGRE
3286,076 IRAJA,2025,683,076,IRAJA
3287,077 COLEGIO,2025,292,077,COLEGIO
3288,078 CAMPINHO,2025,95,078,CAMPINHO
3289,079 QUINTINO BOCAIUVA,2025,202,079,QUINTINO BOCAIUVA
3290,080 CAVALCANTE,2025,145,080,CAVALCANTE
3291,081 ENGENHEIRO LEAL,2025,51,081,ENGENHEIRO LEAL
3292,082 CASCADURA,2025,243,082,CASCADURA
3293,083 MADUREIRA,2025,378,083,MADUREIRA
3294,084 VAZ LOBO,2025,139,084,VAZ LOBO
3295,085 TURIACU,2025,136,085,TURIACU
3296,086 ROCHA MIRANDA,2025,324,086,ROCHA MIRANDA
3297,087 HONORIO GURGEL,2025,183,087,HONORIO GURGEL
3298,088 OSWALDO CRUZ,2025,196,088,OSWALDO CRUZ
3299,089 BENTO RIBEIRO,2025,300,089,BENTO RIBEIRO
3300,090 MARECHAL HERMES,2025,334,090,MARECHAL HERMES
3301,091 RIBEIRA,2025,23,091,RIBEIRA
3302,092 ZUMBI,2025,20,092,ZUMBI
3303,093 CACUIA,2025,85,093,CACUIA
3304,094 PITANGUEIRAS,2025,76,094,PITANGUEIRAS
3305,095 PRAIA DA BANDEIRA,2025,37,095,PRAIA DA BANDEIRA
3306,096 COCOTA,2025,53,096,COCOTA
3307,097 BANCARIOS,2025,132,097,BANCARIOS
3308,098 FREGUESIA-ILHA,2025,191,098,FREGUESIA-ILHA
3309,099 JARDIM GUANABARA,2025,170,099,JARDIM GUANABARA
3310,100 JARDIM CARIOCA,2025,199,100,JARDIM CARIOCA
3311,101 TAUA,2025,212,101,TAUA
3312,102 MONERO,2025,39,102,MONERO
3313,103 PORTUGUESA,2025,127,103,PORTUGUESA
3314,104 GALEAO,2025,248,104,GALEAO
3315,105 CIDADE UNIVERSITARIA,2025,17,105,CIDADE UNIVERSITARIA
3316,106 GUADALUPE,2025,355,106,GUADALUPE
3317,107 ANCHIETA,2025,618,107,ANCHIETA
3318,108 PARQUE ANCHIETA,2025,144,108,PARQUE ANCHIETA
3319,109 RICARDO ALBUQUERQUE,2025,262,109,RICARDO ALBUQUERQUE
3320,110 COELHO NETO,2025,284,110,COELHO NETO
3321,111 ACARI,2025,349,111,ACARI
3322,112 BARROS FILHO,2025,164,112,BARROS FILHO
3323,113 COSTA BARROS,2025,401,113,COSTA BARROS
3324,114 PAVUNA,2025,888,114,PAVUNA
3325,115 JACAREPAGUA,2025,1878,115,JACAREPAGUA
3326,116 ANIL,2025,377,116,ANIL
3327,117 GARDENIA AZUL,2025,400,117,GARDENIA AZUL
3328,118 CIDADE DE DEUS,2025,549,118,CIDADE DE DEUS
3329,119 CURICICA,2025,369,119,CURICICA
3330,120 FREGUESIA-JPA,2025,553,120,FREGUESIA-JPA
3331,121 PECHINCHA,2025,339,121,PECHINCHA
3332,122 TAQUARA,2025,1005,122,TAQUARA
3333,123 TANQUE,2025,378,123,TANQUE
3334,124 PRACA SECA,2025,567,124,PRACA SECA
3335,125 VILA VALQUEIRE,2025,273,125,VILA VALQUEIRE
3336,126 JOA,2025,8,126,JOA
3337,127 ITANHANGA,2025,791,127,ITANHANGA
3338,128 BARRA DA TIJUCA,2025,1115,128,BARRA DA TIJUCA
3339,129 CAMORIM,2025,35,129,CAMORIM
3340,130 VARGEM PEQUENA,2025,325,130,VARGEM PEQUENA
3341,131 VARGEM GRANDE,2025,255,131,VARGEM GRANDE
3342,132 RECREIO BANDEIRANTES,2025,1245,132,RECREIO BANDEIRANTES
3343,133 GRUMARI,2025,0,133,GRUMARI
3344,134 DEODORO,2025,124,134,DEODORO
3345,135 VILA MILITAR,2025,108,135,VILA MILITAR
3346,136 CAMPO DOS AFONSOS,2025,36,136,CAMPO DOS AFONSOS
3347,137 JARDIM SULACAP,2025,132,137,JARDIM SULACAP
3348,138 MAGALHAES BASTOS,2025,208,138,MAGALHAES BASTOS
3349,139 REALENGO,2025,1463,139,REALENGO
3350,140 PADRE MIGUEL,2025,522,140,PADRE MIGUEL
3351,141 BANGU,2025,1977,141,BANGU
3352,142 SENADOR CAMARA,2025,995,142,SENADOR CAMARA
3353,143 SANTISSIMO,2025,471,143,SANTISSIMO
3354,144 CAMPO GRANDE,2025,3504,144,CAMPO GRANDE
3355,145 SENADOR VASCONCELOS,2025,298,145,SENADOR VASCONCELOS
3356,146 INHOAIBA,2025,752,146,INHOAIBA
3357,147 COSMOS,2025,954,147,COSMOS
3358,148 PACIENCIA,2025,1157,148,PACIENCIA
3359,149 SANTA CRUZ,2025,3186,149,SANTA CRUZ
3360,150 SEPETIBA,2025,753,150,SEPETIBA
3361,151 GUARATIBA,2025,1867,151,GUARATIBA
3362,152 BARRA DE GUARATIBA,2025,117,152,BARRA DE GUARATIBA
3363,153 PEDRA DE GUARATIBA,2025,228,153,PEDRA DE GUARATIBA
3364,154 ROCINHA,2025,696,154,ROCINHA
3365,155 JACAREZINHO,2025,293,155,JACAREZINHO
3366,156 COMPLEXO DO ALEMAO,2025,361,156,COMPLEXO DO ALEMAO
3367,157 COMPLEXO DA MARE,2025,1494,157,COMPLEXO DA MARE
3368,158 PARQUE COLUMBIA,2025,83,158,PARQUE COLUMBIA
3369,159 VASCO DA GAMA,2025,131,159,VASCO DA GAMA
3370,160 GERICINo,2025,14,160,GERICINo
3371,161 LAPA,2025,39,161,LAPA
3372,162 VILA KENNEDY,2025,194,162,VILA KENNEDY
3373,163 JABOUR,2025,17,163,JABOUR
3374,164 ILHA DE GUARATIBA,2025,81,164,ILHA DE GUARATIBA
3375,165 BARRA OLIMPICA,2025,503,165,BARRA OLIMPICA
3376,998 ILHA DO GOVERNADOR - IGNORADO,2025,12,998,ILHA DO GOVERNADOR - IGNORADO
3377,999 IGNORADO BAIRRO-MRJ,2025,19,999,IGNORADO BAIRRO-MRJ
3378,EM BRANCO,2025,6336,EM,BRANCO
