bairro,Crianças,Famílias,codbairro,suprimido
Abolição,177,161,70,False
Acari,1596,1396,111,False
Alto da Boa Vista,187,159,34,False
Anchieta,2317,2050,107,False
Andaraí,451,411,37,False
Anil,3285,2953,116,False
Argentino,,,166,True
Bancários,438,382,97,False
Bangu,7705,6942,141,False
Barra Olímpica,141,126,165,False
Barra da Tijuca,333,305,128,False
Barra de Guaratiba,127,116,152,False
Barros Filho,688,614,112,False
Benfica,1144,1046,12,False
Bento Ribeiro,895,798,89,False
Bonsucesso,2936,2598,40,False
Botafogo,312,283,20,False
Brás de Pina,1229,1097,45,False
Cachambi,401,358,65,False
Cacuia,219,199,93,False
Caju,1160,1035,4,False
Camorim,556,504,129,False
Campinho,254,231,78,False
Campo Grande,10459,9354,144,False
Campo dos Afonsos,,,136,True
Cascadura,910,816,82,False
Catete,175,171,18,False
Catumbi,507,460,6,False
Cavalcanti,595,528,80,False
Centro,535,480,5,False
Cidade Nova,112,105,8,False
Cidade Universitária,31,26,105,False
Cidade de Deus,2639,2317,118,False
Cocotá,88,83,96,False
Coelho Neto,1414,1253,110,False
Colégio,984,896,77,False
Complexo do Alemão,1363,1216,156,False
Copacabana,1227,1127,24,False
Cordovil,1279,1147,46,False
Cosme Velho,180,160,19,False
Cosmos,3228,2867,147,False
Costa Barros,1781,1580,113,False
Curicica,1141,1020,119,False
Del Castilho,610,557,53,False
Deodoro,521,468,134,False
Encantado,274,251,68,False
Engenheiro Leal,254,232,81,False
Engenho Novo,1317,1177,61,False
Engenho da Rainha,738,661,55,False
Engenho de Dentro,1096,967,66,False
Estácio,853,749,9,False
Flamengo,99,91,15,False
Freguesia (Ilha),525,472,98,False
Freguesia (Jacarepaguá),939,850,120,False
Galeão,734,650,104,False
Gamboa,502,454,2,False
Gardênia Azul,1654,1473,117,False
Glória,163,146,16,False
Grajaú,377,336,38,False
Grumari,,,133,True
Guadalupe,1211,1097,106,False
Guaratiba,6960,6244,151,False
Gávea,1858,1690,29,False
Higienópolis,215,198,50,False
Honório Gurgel,663,595,87,False
Humaitá,,,21,True
Inhaúma,1874,1692,54,False
Inhoaíba,2895,2572,146,False
Ipanema,,,25,True
Irajá,1542,1379,76,False
Itanhangá,1917,1706,127,False
Jacarepaguá,3427,3054,115,False
Jacarezinho,277,253,155,False
Jacaré,1409,1260,51,False
Jardim América,1096,989,49,False
Jardim Botânico,38,37,28,False
Jardim Carioca,473,426,100,False
Jardim Guanabara,42,37,99,False
Jardim Sulacap,206,186,137,False
Joá,,,126,True
Lagoa,,,27,True
Laranjeiras,112,102,17,False
Leblon,49,47,26,False
Leme,172,159,23,False
Lins de Vasconcelos,947,840,62,False
Madureira,1435,1283,83,False
Magalhães Bastos,571,518,138,False
Mangueira,821,738,11,False
Manguinhos,1927,1689,39,False
Maracanã,67,56,35,False
Marechal Hermes,1084,977,90,False
Maria da Graça,85,79,52,False
Maré,3405,3042,157,False
Moneró,,,102,True
Méier,398,362,63,False
Olaria,1231,1118,42,False
Osvaldo Cruz,688,614,88,False
Paciência,4702,4202,148,False
Padre Miguel,1525,1377,140,False
Paquetá,101,85,13,False
Parada de Lucas,594,529,47,False
Parque Anchieta,448,401,108,False
Parque Colúmbia,123,109,159,False
Pavuna,2786,2508,114,False
Pechincha,366,334,121,False
Pedra de Guaratiba,742,676,153,False
Penha,2007,1799,43,False
Penha Circular,1275,1172,44,False
Piedade,1206,1078,69,False
Pilares,748,664,71,False
Pitangueiras,135,123,94,False
Portuguesa,262,241,103,False
Praia da Bandeira,21,20,95,False
Praça Seca,1833,1634,124,False
Praça da Bandeira,69,64,32,False
Quintino Bocaiúva,708,631,79,False
Ramos,2661,2393,41,False
Realengo,5498,4941,139,False
Recreio dos Bandeirantes,1028,931,132,False
Riachuelo,126,109,59,False
Ribeira,26,25,91,False
Ricardo de Albuquerque,1191,1034,109,False
Rio Comprido,947,855,7,False
Rocha,433,398,58,False
Rocha Miranda,1244,1092,86,False
Rocinha,1237,1125,154,False
Sampaio,525,479,60,False
Santa Cruz,11321,10099,149,False
Santa Teresa,889,825,14,False
Santo Cristo,557,499,3,False
Santíssimo,1981,1785,143,False
Saúde,53,48,1,False
Senador Camará,3520,3123,142,False
Senador Vasconcelos,1154,1011,145,False
Sepetiba,2937,2608,150,False
São Conrado,76,68,31,False
Imperial de São Cristóvão,1561,1407,10,False
São Francisco Xavier,127,113,57,False
Tanque,1501,1314,123,False
Taquara,2502,2212,122,False
Tauá,615,556,101,False
Tijuca,1313,1166,33,False
Todos os Santos,91,85,64,False
Tomás Coelho,725,654,56,False
Turiaçú,566,495,85,False
Urca,,,22,True
Vargem Grande,764,686,131,False
Vargem Pequena,625,572,130,False
Vasco da Gama,56,49,158,False
Vaz Lobo,580,487,84,False
Vicente de Carvalho,760,679,73,False
Vidigal,481,440,30,False
Vigário Geral,1264,1134,48,False
Vila Isabel,960,864,36,False
Vila Kosmos,314,275,72,False
Vila Militar,106,99,135,False
Vila Valqueire,496,438,125,False
Vila da Penha,171,158,74,False
Vista Alegre,128,117,75,False
Zumbi,,,92,True
Água Santa,154,142,67,False
