codigo,bairro,ano,obitos_0_364,obitos_0_6,obitos_7_27,nascidos_vivos,obitos_28_364,taxa_mortalidade_infantil,taxa_mortalidade_pos_neonatal
001,SAUDE,2025,0.0,0.0,0.0,36,0.0,0.0,0.0
002,GAMBOA,2025,2.0,2.0,0.0,150,0.0,13.333333333333334,0.0
003,SANTO CRISTO,2025,3.0,1.0,1.0,129,1.0,23.25581395348837,7.751937984496124
004,CAJU,2025,9.0,3.0,3.0,305,3.0,29.508196721311478,9.836065573770492
005,CENTRO,2025,4.0,1.0,2.0,194,1.0,20.61855670103093,5.154639175257732
006,CATUMBI,2025,5.0,4.0,1.0,134,0.0,37.31343283582089,0.0
007,RIO COMPRIDO,2025,5.0,2.0,2.0,349,1.0,14.326647564469916,2.865329512893983
008,CIDADE NOVA,2025,3.0,0.0,1.0,42,2.0,71.42857142857143,47.61904761904761
009,ESTACIO,2025,4.0,3.0,0.0,153,1.0,26.143790849673202,6.5359477124183005
010,SAO CRISTOVAO,2025,3.0,0.0,0.0,290,3.0,10.344827586206897,10.344827586206897
011,MANGUEIRA,2025,3.0,2.0,1.0,199,0.0,15.07537688442211,0.0
012,BENFICA,2025,8.0,3.0,1.0,346,4.0,23.12138728323699,11.560693641618496
013,PAQUETA,2025,0.0,0.0,0.0,30,0.0,0.0,0.0
014,SANTA TERESA,2025,4.0,2.0,0.0,316,2.0,12.658227848101266,6.329113924050633
015,FLAMENGO,2025,4.0,3.0,1.0,274,0.0,14.598540145985401,0.0
016,GLORIA,2025,0.0,0.0,0.0,47,0.0,0.0,0.0
017,LARANJEIRAS,2025,1.0,0.0,0.0,206,1.0,4.854368932038835,4.854368932038835
018,CATETE,2025,0.0,0.0,0.0,145,0.0,0.0,0.0
019,COSME VELHO,2025,2.0,1.0,0.0,69,1.0,28.985507246376812,14.492753623188406
020,BOTAFOGO,2025,2.0,0.0,0.0,534,2.0,3.745318352059925,3.745318352059925
021,HUMAITA,2025,1.0,0.0,0.0,69,1.0,14.492753623188406,14.492753623188406
022,URCA,2025,0.0,0.0,0.0,57,0.0,0.0,0.0
023,LEME,2025,1.0,1.0,0.0,94,0.0,10.638297872340425,0.0
024,COPACABANA,2025,7.0,3.0,2.0,772,2.0,9.067357512953366,2.5906735751295336
025,IPANEMA,2025,6.0,5.0,1.0,247,0.0,24.291497975708502,0.0
026,LEBLON,2025,2.0,0.0,0.0,275,2.0,7.2727272727272725,7.2727272727272725
027,LAGOA,2025,3.0,1.0,0.0,123,2.0,24.390243902439025,16.260162601626018
028,JARDIM BOTANICO,2025,0.0,0.0,0.0,86,0.0,0.0,0.0
029,GAVEA,2025,2.0,1.0,0.0,139,1.0,14.388489208633095,7.194244604316547
030,VIDIGAL,2025,2.0,1.0,0.0,145,1.0,13.793103448275861,6.896551724137931
031,SAO CONRADO,2025,0.0,0.0,0.0,85,0.0,0.0,0.0
032,PRACA DA BANDEIRA,2025,0.0,0.0,0.0,57,0.0,0.0,0.0
033,TIJUCA,2025,8.0,3.0,3.0,941,2.0,8.501594048884165,2.1253985122210413
034,ALTO DA BOA VISTA,2025,2.0,1.0,0.0,67,1.0,29.850746268656717,14.925373134328359
035,MARACANA,2025,0.0,0.0,0.0,131,0.0,0.0,0.0
036,VILA ISABEL,2025,5.0,2.0,3.0,443,0.0,11.286681715575622,0.0
037,ANDARAI,2025,2.0,1.0,1.0,209,0.0,9.569377990430622,0.0
