bairro,ano,nascidos abaixo peso,codigo,percentual abaixo do peso
SAUDE,2025,5,001,13.88888888888889
GAMBOA,2025,15,002,10.0
SANTO CRISTO,2025,17,003,13.178294573643413
CAJU,2025,34,004,11.147540983606557
CENTRO,2025,22,005,11.34020618556701
CATUMBI,2025,20,006,14.925373134328357
RIO COMPRIDO,2025,23,007,6.59025787965616
CIDADE NOVA,2025,5,008,11.904761904761903
ESTACIO,2025,17,009,11.11111111111111
SAO CRISTOVAO,2025,32,010,11.03448275862069
MANGUEIRA,2025,28,011,14.07035175879397
BENFICA,2025,33,012,9.53757225433526
PAQUETA,2025,3,013,10.0
SANTA TERESA,2025,33,014,10.443037974683545
FLAMENGO,2025,20,015,7.2992700729927
GLORIA,2025,2,016,4.25531914893617
LARANJEIRAS,2025,16,017,7.766990291262135
CATETE,2025,6,018,4.137931034482759
COSME VELHO,2025,11,019,15.942028985507244
BOTAFOGO,2025,42,020,7.865168539325842
HUMAITA,2025,16,021,23.18840579710145
URCA,2025,4,022,7.017543859649122
LEME,2025,8,023,8.51063829787234
COPACABANA,2025,89,024,11.528497409326425
IPANEMA,2025,30,025,12.145748987854251
LEBLON,2025,23,026,8.363636363636363
LAGOA,2025,14,027,11.38211382113821
JARDIM BOTANICO,2025,11,028,12.790697674418606
GAVEA,2025,12,029,8.633093525179856
VIDIGAL,2025,11,030,7.586206896551724
SAO CONRADO,2025,7,031,8.235294117647058
PRACA DA BANDEIRA,2025,2,032,3.508771929824561
TIJUCA,2025,95,033,10.095642933049948
ALTO DA BOA VISTA,2025,6,034,8.955223880597014
MARACANA,2025,9,035,6.870229007633588
VILA ISABEL,2025,48,036,10.835214446952596
ANDARAI,2025,23,037,11.004784688995215
GRAJAU,2025,17,038,10.119047619047619
MANGUINHOS,2025,41,039,10.594315245478036
BONSUCESSO,2025,36,040,9.183673469387756
RAMOS,2025,41,041,8.559498956158663
OLARIA,2025,46,042,11.057692307692307
PENHA,2025,57,043,9.35960591133005
PENHA CIRCULAR,2025,48,044,13.48314606741573
BRAS DE PINA,2025,43,045,11.813186813186812
CORDOVIL,2025,38,046,12.025316455696203
PARADA DE LUCAS,2025,37,047,14.50980392156863
VIGARIO GERAL,2025,39,048,11.016949152542372
JARDIM AMERICA,2025,28,049,10.526315789473683
HIGIENOPOLIS,2025,16,050,13.559322033898304
JACARE,2025,12,051,7.228915662650602
MARIA DA GRACA,2025,9,052,9.0
DEL CASTILHO,2025,24,053,10.16949152542373
INHAUMA,2025,55,054,10.204081632653061
ENGENHO DA RAINHA,2025,27,055,12.442396313364055
TOMAS COELHO,2025,16,056,8.37696335078534
SAO FRANCISCO XAVIER,2025,11,057,20.0
ROCHA,2025,16,058,8.98876404494382
RIACHUELO,2025,6,059,9.090909090909092
SAMPAIO,2025,15,060,15.151515151515152
ENGENHO NOVO,2025,41,061,11.849710982658959
LINS DE VASCONCELOS,2025,44,062,14.473684210526317
MEIER,2025,25,063,10.121457489878543
TODOS OS SANTOS,2025,14,064,11.11111111111111
CACHAMBI,2025,32,065,11.678832116788321
ENGENHO DE DENTRO,2025,37,066,10.541310541310542
AGUA SANTA,2025,4,067,7.017543859649122
ENCANTADO,2025,10,068,12.345679012345679
PIEDADE,2025,33,069,10.060975609756099
ABOLICAO,2025,7,070,6.422018348623854
PILARES,2025,21,071,10.99476439790576
VILA KOSMOS,2025,6,072,5.5045871559633035
VICENTE DE CARVALHO,2025,15,073,7.936507936507936
VILA DA PENHA,2025,10,074,6.756756756756757
