bairro,ano,nascidos vivos,codigo,percentual_do_municipio
SAUDE,2025,36,001,0.05495595890515517
GAMBOA,2025,150,002,0.22898316210481323
SANTO CRISTO,2025,129,003,0.1969255194101394
CAJU,2025,305,004,0.4655990962797869
CENTRO,2025,194,005,0.2961515563222251
CATUMBI,2025,134,006,0.20455829148029983
RIO COMPRIDO,2025,349,007,0.5327674904971988
CIDADE NOVA,2025,42,008,0.0641152853893477
ESTACIO,2025,153,009,0.23356282534690948
SAO CRISTOVAO,2025,290,010,0.4427007800693055
MANGUEIRA,2025,199,011,0.30378432839238556
BENFICA,2025,346,012,0.5281878272551025
PAQUETA,2025,30,013,0.045796632420962644
SANTA TERESA,2025,316,014,0.48239119483413984
FLAMENGO,2025,274,015,0.4182759094447922
GLORIA,2025,47,016,0.07174805745950814
LARANJEIRAS,2025,206,017,0.31447020929061015
CATETE,2025,145,018,0.22135039003465276
COSME VELHO,2025,69,019,0.10533225456821407
BOTAFOGO,2025,534,020,0.8151800570931351
HUMAITA,2025,69,021,0.10533225456821407
URCA,2025,57,022,0.08701360159982903
LEME,2025,94,023,0.1434961149190163
COPACABANA,2025,772,024,1.178500007632772
IPANEMA,2025,247,025,0.3770589402659258
LEBLON,2025,275,026,0.4198024638588243
LAGOA,2025,123,027,0.18776619292594685
JARDIM BOTANICO,2025,86,028,0.1312836796067596
GAVEA,2025,139,029,0.21219106355046025
VIDIGAL,2025,145,030,0.22135039003465276
SAO CONRADO,2025,85,031,0.1297571251927275
PRACA DA BANDEIRA,2025,57,032,0.08701360159982903
TIJUCA,2025,941,033,1.436487703604195
ALTO DA BOA VISTA,2025,67,034,0.10227914574014992
MARACANA,2025,131,035,0.19997862823820356
VILA ISABEL,2025,443,036,0.676263605416215
ANDARAI,2025,209,037,0.31904987253270645
GRAJAU,2025,168,038,0.2564611415573908
MANGUINHOS,2025,387,039,0.5907765582304181
BONSUCESSO,2025,392,040,0.5984093303005785
RAMOS,2025,479,041,0.7312195643213703
OLARIA,2025,416,042,0.6350466362373487
PENHA,2025,609,043,0.9296716381455418
PENHA CIRCULAR,2025,356,044,0.5434533713954234
BRAS DE PINA,2025,364,045,0.5556658067076801
CORDOVIL,2025,316,046,0.48239119483413984
PARADA DE LUCAS,2025,255,047,0.3892713755781825
VIGARIO GERAL,2025,354,048,0.5404002625673593
JARDIM AMERICA,2025,266,049,0.40606347413253546
HIGIENOPOLIS,2025,118,050,0.1801334208557864
JACARE,2025,166,051,0.25340803272932666
MARIA DA GRACA,2025,100,052,0.15265544140320883
DEL CASTILHO,2025,236,053,0.3602668417115728
INHAUMA,2025,539,054,0.8228128291632955
ENGENHO DA RAINHA,2025,217,055,0.33126230784496313
TOMAS COELHO,2025,191,056,0.2915718930801288
SAO FRANCISCO XAVIER,2025,55,057,0.08396049277176484
ROCHA,2025,178,058,0.2717266856977117
RIACHUELO,2025,66,059,0.10075259132611783
SAMPAIO,2025,99,060,0.15112888698917673
ENGENHO NOVO,2025,346,061,0.5281878272551025
LINS DE VASCONCELOS,2025,304,062,0.4640725418657548
MEIER,2025,247,063,0.3770589402659258
TODOS OS SANTOS,2025,126,064,0.19234585616804312
CACHAMBI,2025,274,065,0.4182759094447922
ENGENHO DE DENTRO,2025,351,066,0.5358205993252629
AGUA SANTA,2025,57,067,0.08701360159982903
ENCANTADO,2025,81,068,0.12365090753659914
PIEDADE,2025,328,069,0.5007098478025249
ABOLICAO,2025,109,070,0.1663944311294976
PILARES,2025,191,071,0.2915718930801288
VILA KOSMOS,2025,109,072,0.1663944311294976
VICENTE DE CARVALHO,2025,189,073,0.2885187842520647
VILA DA PENHA,2025,148,074,0.22593005327674903
VISTA ALEGRE,2025,50,075,0.07632772070160442
IRAJA,2025,683,076,1.0426366647839163
COLEGIO,2025,292,077,0.4457538888973697
CAMPINHO,2025,95,078,0.14502266933304836
QUINTINO BOCAIUVA,2025,202,079,0.3083639916344818
CAVALCANTE,2025,145,080,0.22135039003465276
ENGENHEIRO LEAL,2025,51,081,0.0778542751156365
CASCADURA,2025,243,082,0.37095272260979745
MADUREIRA,2025,378,083,0.5770375685041294
VAZ LOBO,2025,139,084,0.21219106355046025
TURIACU,2025,136,085,0.207611400308364
ROCHA MIRANDA,2025,324,086,0.4946036301463966
HONORIO GURGEL,2025,183,087,0.27935945776787213
OSWALDO CRUZ,2025,196,088,0.29920466515028926
BENTO RIBEIRO,2025,300,089,0.45796632420962646
MARECHAL HERMES,2025,334,090,0.5098691742867175
RIBEIRA,2025,23,091,0.03511075152273803
ZUMBI,2025,20,092,0.030531088280641765
CACUIA,2025,85,093,0.1297571251927275
PITANGUEIRAS,2025,76,094,0.1160181354664387
PRAIA DA BANDEIRA,2025,37,095,0.05648251331918726
COCOTA,2025,53,096,0.08090738394370067
BANCARIOS,2025,132,097,0.20150518265223566
FREGUESIA-ILHA,2025,191,098,0.2915718930801288
JARDIM GUANABARA,2025,170,099,0.259514250385455
JARDIM CARIOCA,2025,199,100,0.30378432839238556
TAUA,2025,212,101,0.3236295357748027
MONERO,2025,39,102,0.05953562214725144
PORTUGUESA,2025,127,103,0.19387241058207522
GALEAO,2025,248,104,0.3785854946799579
CIDADE UNIVERSITARIA,2025,17,105,0.0259514250385455
GUADALUPE,2025,355,106,0.5419268169813912
ANCHIETA,2025,618,107,0.9434106278718305
PARQUE ANCHIETA,2025,144,108,0.2198238356206207
RICARDO ALBUQUERQUE,2025,262,109,0.3999572564764071
COELHO NETO,2025,284,110,0.433541453585113
ACARI,2025,349,111,0.5327674904971988
BARROS FILHO,2025,164,112,0.25035492390126246
COSTA BARROS,2025,401,113,0.6121483200268674
PAVUNA,2025,888,114,1.3555803196604943
JACAREPAGUA,2025,1878,115,2.8668691895522618
ANIL,2025,377,116,0.5755110140900972
GARDENIA AZUL,2025,400,117,0.6106217656128353
CIDADE DE DEUS,2025,549,118,0.8380783733036165
CURICICA,2025,369,119,0.5632985787778405
FREGUESIA-JPA,2025,553,120,0.8441845909597447
PECHINCHA,2025,339,121,0.517501946356878
TAQUARA,2025,1005,122,1.5341871861022487
TANQUE,2025,378,123,0.5770375685041294
PRACA SECA,2025,567,124,0.865556352756194
VILA VALQUEIRE,2025,273,125,0.4167493550307601
JOA,2025,8,126,0.012212435312256706
ITANHANGA,2025,791,127,1.2075045414993817
BARRA DA TIJUCA,2025,1115,128,1.7021081716457782
CAMORIM,2025,35,129,0.05342940449112308
VARGEM PEQUENA,2025,325,130,0.4961301845604287
VARGEM GRANDE,2025,255,131,0.3892713755781825
RECREIO BANDEIRANTES,2025,1245,132,1.9005602454699497
GRUMARI,2025,0,133,0.0
DEODORO,2025,124,134,0.18929274733997895
VILA MILITAR,2025,108,135,0.16486787671546554
CAMPO DOS AFONSOS,2025,36,136,0.05495595890515517
JARDIM SULACAP,2025,132,137,0.20150518265223566
MAGALHAES BASTOS,2025,208,138,0.31752331811867435
REALENGO,2025,1463,139,2.233349107728945
PADRE MIGUEL,2025,522,140,0.79686140412475
BANGU,2025,1977,141,3.0179980765414385
SENADOR CAMARA,2025,995,142,1.5189216419619278
SANTISSIMO,2025,471,143,0.7190071290091136
CAMPO GRANDE,2025,3504,144,5.349046666768436
SENADOR VASCONCELOS,2025,298,145,0.45491321538156226
INHOAIBA,2025,752,146,1.1479689193521303
COSMOS,2025,954,147,1.456332910986612
PACIENCIA,2025,1157,148,1.766223457035126
SANTA CRUZ,2025,3186,149,4.863602363106232
SEPETIBA,2025,753,150,1.1494954737661625
GUARATIBA,2025,1867,151,2.8500770909979085
BARRA DE GUARATIBA,2025,117,152,0.1786068664417543
PEDRA DE GUARATIBA,2025,228,153,0.3480544063993161
ROCINHA,2025,696,154,1.0624818721663334
JACAREZINHO,2025,293,155,0.4472804433114018
COMPLEXO DO ALEMAO,2025,361,156,0.5510861434655838
COMPLEXO DA MARE,2025,1494,157,2.28067229456394
PARQUE COLUMBIA,2025,83,158,0.12670401636466333
VASCO DA GAMA,2025,131,159,0.19997862823820356
GERICINo,2025,14,160,0.021371761796449232
LAPA,2025,39,161,0.05953562214725144
VILA KENNEDY,2025,194,162,0.2961515563222251
JABOUR,2025,17,163,0.0259514250385455
ILHA DE GUARATIBA,2025,81,164,0.12365090753659914
BARRA OLIMPICA,2025,503,165,0.7678568702581404
ILHA DO GOVERNADOR - IGNORADO,2025,12,998,0.018318652968385057
IGNORADO BAIRRO-MRJ,2025,19,999,0.029004533866609675
