cod_ap_sms,subgrupo,ano,obitos,faixa_etaria
1.0,1.2.1. Red por at à mulher na gestação,2025,13,menores de 1 ano
2.1,1.2.1. Red por at à mulher na gestação,2025,7,menores de 1 ano
2.2,1.2.1. Red por at à mulher na gestação,2025,3,menores de 1 ano
3.1,1.2.1. Red por at à mulher na gestação,2025,28,menores de 1 ano
3.2,1.2.1. Red por at à mulher na gestação,2025,24,menores de 1 ano
3.3,1.2.1. Red por at à mulher na gestação,2025,39,menores de 1 ano
4.0,1.2.1. Red por at à mulher na gestação,2025,47,menores de 1 ano
5.1,1.2.1. Red por at à mulher na gestação,2025,31,menores de 1 ano
5.2,1.2.1. Red por at à mulher na gestação,2025,40,menores de 1 ano
5.3,1.2.1. Red por at à mulher na gestação,2025,32,menores de 1 ano
