bairro,ano,óbitos-gravidez,codigo
SAUDE,2025,0,001
GAMBOA,2025,0,002
CAJU,2025,0,004
CENTRO,2025,0,005
CATUMBI,2025,0,006
RIO COMPRIDO,2025,0,007
CIDADE NOVA,2025,0,008
ESTACIO,2025,0,009
SAO CRISTOVAO,2025,0,010
MANGUEIRA,2025,0,011
BENFICA,2025,0,012
SANTA TERESA,2025,0,014
FLAMENGO,2025,0,015
BOTAFOGO,2025,0,020
COPACABANA,2025,1,024
IPANEMA,2025,0,025
GAVEA,2025,0,029
VIDIGAL,2025,0,030
PRACA DA BANDEIRA,2025,0,032
TIJUCA,2025,0,033
MARACANA,2025,0,035
VILA ISABEL,2025,0,036
ANDARAI,2025,0,037
GRAJAU,2025,0,038
MANGUINHOS,2025,0,039
BONSUCESSO,2025,0,040
RAMOS,2025,0,041
OLARIA,2025,0,042
PENHA,2025,0,043
PENHA CIRCULAR,2025,0,044
BRAS DE PINA,2025,0,045
CORDOVIL,2025,0,046
PARADA DE LUCAS,2025,0,047
VIGARIO GERAL,2025,2,048
JARDIM AMERICA,2025,0,049
HIGIENOPOLIS,2025,0,050
JACARE,2025,0,051
DEL CASTILHO,2025,0,053
INHAUMA,2025,0,054
ENGENHO DA RAINHA,2025,0,055
TOMAS COELHO,2025,0,056
ROCHA,2025,0,058
ENGENHO NOVO,2025,0,061
LINS DE VASCONCELOS,2025,0,062
TODOS OS SANTOS,2025,0,064
CACHAMBI,2025,0,065
ENGENHO DE DENTRO,2025,0,066
PIEDADE,2025,0,069
PILARES,2025,0,071
VILA KOSMOS,2025,0,072
VICENTE DE CARVALHO,2025,0,073
VILA DA PENHA,2025,0,074
VISTA ALEGRE,2025,0,075
IRAJA,2025,0,076
COLEGIO,2025,0,077
QUINTINO BOCAIUVA,2025,0,079
CAVALCANTE,2025,0,080
ENGENHEIRO LEAL,2025,0,081
MADUREIRA,2025,0,083
ROCHA MIRANDA,2025,0,086
OSWALDO CRUZ,2025,0,088
BENTO RIBEIRO,2025,0,089
MARECHAL HERMES,2025,0,090
CACUIA,2025,0,093
PITANGUEIRAS,2025,0,094
FREGUESIA-ILHA,2025,0,098
JARDIM GUANABARA,2025,0,099
JARDIM CARIOCA,2025,0,100
TAUA,2025,0,101
MONERO,2025,0,102
PORTUGUESA,2025,0,103
GALEAO,2025,0,104
GUADALUPE,2025,0,106
ANCHIETA,2025,0,107
RICARDO ALBUQUERQUE,2025,0,109
COELHO NETO,2025,0,110
ACARI,2025,0,111
BARROS FILHO,2025,0,112
COSTA BARROS,2025,1,113
PAVUNA,2025,1,114
JACAREPAGUA,2025,0,115
ANIL,2025,0,116
GARDENIA AZUL,2025,0,117
CIDADE DE DEUS,2025,0,118
CURICICA,2025,0,119
FREGUESIA-JPA,2025,0,120
TAQUARA,2025,0,122
TANQUE,2025,0,123
PRACA SECA,2025,0,124
VILA VALQUEIRE,2025,0,125
ITANHANGA,2025,0,127
BARRA DA TIJUCA,2025,0,128
VARGEM PEQUENA,2025,0,130
RECREIO BANDEIRANTES,2025,0,132
VILA MILITAR,2025,0,135
MAGALHAES BASTOS,2025,0,138
REALENGO,2025,1,139
PADRE MIGUEL,2025,0,140
BANGU,2025,1,141
SENADOR CAMARA,2025,1,142
SANTISSIMO,2025,0,143
CAMPO GRANDE,2025,0,144
SENADOR VASCONCELOS,2025,0,145
INHOAIBA,2025,0,146
COSMOS,2025,0,147
PACIENCIA,2025,0,148
SANTA CRUZ,2025,1,149
SEPETIBA,2025,1,150
GUARATIBA,2025,1,151
BARRA DE GUARATIBA,2025,0,152
PEDRA DE GUARATIBA,2025,0,153
ROCINHA,2025,2,154
JACAREZINHO,2025,0,155
COMPLEXO DO ALEMAO,2025,0,156
COMPLEXO DA MARE,2025,0,157
PARQUE COLUMBIA,2025,0,158
VASCO DA GAMA,2025,1,159
ILHA DO GOVERNADOR - IGNORADO,2025,0,998
IGNORADO BAIRRO-MRJ,2025,0,999
