bairro,ano,obitos precoces,codigo,nascidos vivos,taxa_mortalidade_precoce
SAUDE,2025,0,001,36,0.0
GAMBOA,2025,2,002,150,13.333333333333334
SANTO CRISTO,2025,1,003,129,7.751937984496124
CAJU,2025,3,004,305,9.836065573770492
CENTRO,2025,1,005,194,5.154639175257732
CATUMBI,2025,4,006,134,29.850746268656717
RIO COMPRIDO,2025,2,007,349,5.730659025787966
CIDADE NOVA,2025,0,008,42,0.0
ESTACIO,2025,3,009,153,19.607843137254903
SAO CRISTOVAO,2025,0,010,290,0.0
MANGUEIRA,2025,2,011,199,10.050251256281408
BENFICA,2025,3,012,346,8.670520231213873
PAQUETA,2025,0,013,30,0.0
SANTA TERESA,2025,2,014,316,6.329113924050633
FLAMENGO,2025,3,015,274,10.948905109489052
GLORIA,2025,0,016,47,0.0
LARANJEIRAS,2025,0,017,206,0.0
CATETE,2025,0,018,145,0.0
COSME VELHO,2025,1,019,69,14.492753623188406
BOTAFOGO,2025,0,020,534,0.0
HUMAITA,2025,0,021,69,0.0
URCA,2025,0,022,57,0.0
LEME,2025,1,023,94,10.638297872340425
COPACABANA,2025,3,024,772,3.8860103626943006
IPANEMA,2025,5,025,247,20.242914979757085
LEBLON,2025,0,026,275,0.0
LAGOA,2025,1,027,123,8.130081300813009
JARDIM BOTANICO,2025,0,028,86,0.0
GAVEA,2025,1,029,139,7.194244604316547
VIDIGAL,2025,1,030,145,6.896551724137931
SAO CONRADO,2025,0,031,85,0.0
PRACA DA BANDEIRA,2025,0,032,57,0.0
TIJUCA,2025,3,033,941,3.188097768331562
ALTO DA BOA VISTA,2025,1,034,67,14.925373134328359
MARACANA,2025,0,035,131,0.0
VILA ISABEL,2025,2,036,443,4.514672686230248
ANDARAI,2025,1,037,209,4.784688995215311
GRAJAU,2025,0,038,168,0.0
MANGUINHOS,2025,4,039,387,10.335917312661499
BONSUCESSO,2025,0,040,392,0.0
RAMOS,2025,3,041,479,6.263048016701462
OLARIA,2025,3,042,416,7.211538461538462
PENHA,2025,4,043,609,6.568144499178982
PENHA CIRCULAR,2025,4,044,356,11.235955056179774
BRAS DE PINA,2025,3,045,364,8.241758241758243
CORDOVIL,2025,5,046,316,15.822784810126583
PARADA DE LUCAS,2025,1,047,255,3.9215686274509802
VIGARIO GERAL,2025,3,048,354,8.474576271186441
JARDIM AMERICA,2025,1,049,266,3.7593984962406015
HIGIENOPOLIS,2025,0,050,118,0.0
JACARE,2025,0,051,166,0.0
MARIA DA GRACA,2025,0,052,100,0.0
DEL CASTILHO,2025,2,053,236,8.474576271186441
INHAUMA,2025,3,054,539,5.565862708719852
ENGENHO DA RAINHA,2025,2,055,217,9.216589861751151
TOMAS COELHO,2025,5,056,191,26.17801047120419
SAO FRANCISCO XAVIER,2025,1,057,55,18.18181818181818
ROCHA,2025,3,058,178,16.853932584269664
RIACHUELO,2025,0,059,66,0.0
SAMPAIO,2025,2,060,99,20.202020202020204
ENGENHO NOVO,2025,1,061,346,2.890173410404624
LINS DE VASCONCELOS,2025,2,062,304,6.578947368421052
MEIER,2025,2,063,247,8.097165991902834
TODOS OS SANTOS,2025,1,064,126,7.936507936507936
CACHAMBI,2025,0,065,274,0.0
ENGENHO DE DENTRO,2025,0,066,351,0.0
AGUA SANTA,2025,1,067,57,17.543859649122805
ENCANTADO,2025,1,068,81,12.345679012345679
PIEDADE,2025,2,069,328,6.097560975609756
ABOLICAO,2025,1,070,109,9.174311926605505
PILARES,2025,1,071,191,5.235602094240838
VILA KOSMOS,2025,0,072,109,0.0
VICENTE DE CARVALHO,2025,1,073,189,5.291005291005291
VILA DA PENHA,2025,0,074,148,0.0
VISTA ALEGRE,2025,0,075,50,0.0
IRAJA,2025,3,076,683,4.392386530014641
COLEGIO,2025,4,077,292,13.698630136986301
CAMPINHO,2025,1,078,95,10.526315789473683
QUINTINO BOCAIUVA,2025,0,079,202,0.0
CAVALCANTE,2025,1,080,145,6.896551724137931
ENGENHEIRO LEAL,2025,1,081,51,19.607843137254903
CASCADURA,2025,3,082,243,12.345679012345679
MADUREIRA,2025,1,083,378,2.6455026455026456
VAZ LOBO,2025,0,084,139,0.0
TURIACU,2025,0,085,136,0.0
ROCHA MIRANDA,2025,3,086,324,9.25925925925926
HONORIO GURGEL,2025,3,087,183,16.393442622950822
OSWALDO CRUZ,2025,0,088,196,0.0
BENTO RIBEIRO,2025,4,089,300,13.333333333333334
MARECHAL HERMES,2025,4,090,334,11.976047904191617
RIBEIRA,2025,1,091,23,43.47826086956522
CACUIA,2025,0,093,85,0.0
PITANGUEIRAS,2025,0,094,76,0.0
PRAIA DA BANDEIRA,2025,0,095,37,0.0
COCOTA,2025,0,096,53,0.0
BANCARIOS,2025,0,097,132,0.0
FREGUESIA-ILHA,2025,0,098,191,0.0
JARDIM GUANABARA,2025,0,099,170,0.0
JARDIM CARIOCA,2025,2,100,199,10.050251256281408
TAUA,2025,0,101,212,0.0
MONERO,2025,0,102,39,0.0
PORTUGUESA,2025,2,103,127,15.748031496062993
GALEAO,2025,0,104,248,0.0
CIDADE UNIVERSITARIA,2025,1,105,17,58.8235294117647
GUADALUPE,2025,2,106,355,5.633802816901409
ANCHIETA,2025,5,107,618,8.090614886731391
PARQUE ANCHIETA,2025,1,108,144,6.944444444444444
RICARDO ALBUQUERQUE,2025,1,109,262,3.8167938931297707
COELHO NETO,2025,0,110,284,0.0
ACARI,2025,2,111,349,5.730659025787966
BARROS FILHO,2025,1,112,164,6.097560975609756
COSTA BARROS,2025,4,113,401,9.975062344139651
PAVUNA,2025,14,114,888,15.765765765765764
JACAREPAGUA,2025,11,115,1878,5.857294994675187
ANIL,2025,5,116,377,13.262599469496022
GARDENIA AZUL,2025,1,117,400,2.5
CIDADE DE DEUS,2025,2,118,549,3.6429872495446265
CURICICA,2025,4,119,369,10.840108401084011
FREGUESIA-JPA,2025,2,120,553,3.6166365280289328
PECHINCHA,2025,2,121,339,5.899705014749262
TAQUARA,2025,8,122,1005,7.960199004975124
TANQUE,2025,1,123,378,2.6455026455026456
PRACA SECA,2025,4,124,567,7.054673721340388
VILA VALQUEIRE,2025,2,125,273,7.326007326007326
JOA,2025,0,126,8,0.0
ITANHANGA,2025,4,127,791,5.056890012642225
BARRA DA TIJUCA,2025,4,128,1115,3.587443946188341
CAMORIM,2025,0,129,35,0.0
VARGEM PEQUENA,2025,4,130,325,12.307692307692308
VARGEM GRANDE,2025,1,131,255,3.9215686274509802
RECREIO BANDEIRANTES,2025,3,132,1245,2.4096385542168677
DEODORO,2025,2,134,124,16.129032258064516
VILA MILITAR,2025,2,135,108,18.51851851851852
CAMPO DOS AFONSOS,2025,2,136,36,55.55555555555555
JARDIM SULACAP,2025,1,137,132,7.575757575757576
MAGALHAES BASTOS,2025,2,138,208,9.615384615384617
REALENGO,2025,5,139,1463,3.417634996582365
PADRE MIGUEL,2025,5,140,522,9.578544061302681
BANGU,2025,7,141,1977,3.540718259989884
SENADOR CAMARA,2025,2,142,995,2.0100502512562817
SANTISSIMO,2025,5,143,471,10.615711252653927
CAMPO GRANDE,2025,16,144,3504,4.5662100456621
SENADOR VASCONCELOS,2025,5,145,298,16.778523489932887
INHOAIBA,2025,3,146,752,3.9893617021276593
COSMOS,2025,10,147,954,10.482180293501049
PACIENCIA,2025,9,148,1157,7.778738115816767
SANTA CRUZ,2025,28,149,3186,8.788449466415567
SEPETIBA,2025,2,150,753,2.6560424966799467
GUARATIBA,2025,6,151,1867,3.2137118371719335
BARRA DE GUARATIBA,2025,0,152,117,0.0
PEDRA DE GUARATIBA,2025,0,153,228,0.0
ROCINHA,2025,3,154,696,4.310344827586206
JACAREZINHO,2025,3,155,293,10.238907849829351
COMPLEXO DO ALEMAO,2025,0,156,361,0.0
COMPLEXO DA MARE,2025,6,157,1494,4.016064257028112
PARQUE COLUMBIA,2025,0,158,83,0.0
VASCO DA GAMA,2025,0,159,131,0.0
GERICINo,2025,1,160,14,71.42857142857143
LAPA,2025,0,161,39,0.0
VILA KENNEDY,2025,2,162,194,10.309278350515465
ILHA DE GUARATIBA,2025,1,164,81,12.345679012345679
BARRA OLIMPICA,2025,1,165,503,1.9880715705765406
ILHA DO GOVERNADOR - IGNORADO,2025,0,998,12,0.0
IGNORADO BAIRRO-MRJ,2025,0,999,19,0.0
