bairro,ano,obitos_tardios,codigo,nascidos vivos,taxa_obitos_tardios
SAUDE,2025,0,001,36,0.0
GAMBOA,2025,0,002,150,0.0
SANTO CRISTO,2025,1,003,129,7.751937984496124
CAJU,2025,3,004,305,9.836065573770492
CENTRO,2025,2,005,194,10.309278350515465
CATUMBI,2025,1,006,134,7.462686567164179
RIO COMPRIDO,2025,2,007,349,5.730659025787966
CIDADE NOVA,2025,1,008,42,23.809523809523807
ESTACIO,2025,0,009,153,0.0
SAO CRISTOVAO,2025,0,010,290,0.0
MANGUEIRA,2025,1,011,199,5.025125628140704
BENFICA,2025,1,012,346,2.890173410404624
PAQUETA,2025,0,013,30,0.0
SANTA TERESA,2025,0,014,316,0.0
FLAMENGO,2025,1,015,274,3.6496350364963503
GLORIA,2025,0,016,47,0.0
LARANJEIRAS,2025,0,017,206,0.0
CATETE,2025,0,018,145,0.0
COSME VELHO,2025,0,019,69,0.0
BOTAFOGO,2025,0,020,534,0.0
HUMAITA,2025,0,021,69,0.0
URCA,2025,0,022,57,0.0
LEME,2025,0,023,94,0.0
COPACABANA,2025,2,024,772,2.5906735751295336
IPANEMA,2025,1,025,247,4.048582995951417
LEBLON,2025,0,026,275,0.0
LAGOA,2025,0,027,123,0.0
JARDIM BOTANICO,2025,0,028,86,0.0
GAVEA,2025,0,029,139,0.0
VIDIGAL,2025,0,030,145,0.0
SAO CONRADO,2025,0,031,85,0.0
PRACA DA BANDEIRA,2025,0,032,57,0.0
TIJUCA,2025,3,033,941,3.188097768331562
ALTO DA BOA VISTA,2025,0,034,67,0.0
MARACANA,2025,0,035,131,0.0
VILA ISABEL,2025,3,036,443,6.772009029345372
ANDARAI,2025,1,037,209,4.784688995215311
GRAJAU,2025,0,038,168,0.0
MANGUINHOS,2025,1,039,387,2.5839793281653747
BONSUCESSO,2025,0,040,392,0.0
RAMOS,2025,1,041,479,2.08768267223382
OLARIA,2025,0,042,416,0.0
PENHA,2025,1,043,609,1.6420361247947455
PENHA CIRCULAR,2025,1,044,356,2.8089887640449436
