bairro,ano,óbitos-puerpério,codigo
GAMBOA,2025,0,002
SANTO CRISTO,2025,0,003
CAJU,2025,0,004
CENTRO,2025,0,005
CATUMBI,2025,0,006
RIO COMPRIDO,2025,0,007
CIDADE NOVA,2025,0,008
ESTACIO,2025,1,009
SAO CRISTOVAO,2025,0,010
MANGUEIRA,2025,1,011
BENFICA,2025,0,012
SANTA TERESA,2025,0,014
FLAMENGO,2025,0,015
LARANJEIRAS,2025,0,017
CATETE,2025,0,018
COSME VELHO,2025,0,019
BOTAFOGO,2025,0,020
URCA,2025,0,022
LEME,2025,0,023
COPACABANA,2025,0,024
JARDIM BOTANICO,2025,0,028
GAVEA,2025,0,029
VIDIGAL,2025,0,030
PRACA DA BANDEIRA,2025,0,032
TIJUCA,2025,0,033
ALTO DA BOA VISTA,2025,1,034
MARACANA,2025,0,035
VILA ISABEL,2025,0,036
GRAJAU,2025,0,038
MANGUINHOS,2025,1,039
BONSUCESSO,2025,0,040
RAMOS,2025,0,041
OLARIA,2025,0,042
PENHA,2025,0,043
PENHA CIRCULAR,2025,0,044
BRAS DE PINA,2025,0,045
CORDOVIL,2025,0,046
PARADA DE LUCAS,2025,0,047
VIGARIO GERAL,2025,0,048
JARDIM AMERICA,2025,0,049
HIGIENOPOLIS,2025,0,050
JACARE,2025,0,051
MARIA DA GRACA,2025,0,052
DEL CASTILHO,2025,0,053
INHAUMA,2025,0,054
ENGENHO DA RAINHA,2025,0,055
TOMAS COELHO,2025,0,056
SAO FRANCISCO XAVIER,2025,0,057
ROCHA,2025,1,058
RIACHUELO,2025,0,059
SAMPAIO,2025,0,060
ENGENHO NOVO,2025,1,061
LINS DE VASCONCELOS,2025,0,062
MEIER,2025,0,063
ENGENHO DE DENTRO,2025,0,066
ENCANTADO,2025,0,068
PIEDADE,2025,0,069
PILARES,2025,0,071
VILA KOSMOS,2025,0,072
VICENTE DE CARVALHO,2025,0,073
VILA DA PENHA,2025,0,074
VISTA ALEGRE,2025,1,075
IRAJA,2025,1,076
COLEGIO,2025,0,077
CAMPINHO,2025,0,078
QUINTINO BOCAIUVA,2025,0,079
CAVALCANTE,2025,0,080
ENGENHEIRO LEAL,2025,0,081
CASCADURA,2025,0,082
MADUREIRA,2025,0,083
VAZ LOBO,2025,0,084
TURIACU,2025,0,085
ROCHA MIRANDA,2025,0,086
HONORIO GURGEL,2025,0,087
OSWALDO CRUZ,2025,0,088
BENTO RIBEIRO,2025,0,089
MARECHAL HERMES,2025,0,090
ZUMBI,2025,0,092
CACUIA,2025,0,093
BANCARIOS,2025,0,097
FREGUESIA-ILHA,2025,0,098
JARDIM GUANABARA,2025,0,099
JARDIM CARIOCA,2025,0,100
TAUA,2025,0,101
GUADALUPE,2025,0,106
ANCHIETA,2025,0,107
PARQUE ANCHIETA,2025,0,108
RICARDO ALBUQUERQUE,2025,0,109
COELHO NETO,2025,0,110
ACARI,2025,0,111
BARROS FILHO,2025,0,112
COSTA BARROS,2025,0,113
PAVUNA,2025,2,114
JACAREPAGUA,2025,2,115
ANIL,2025,1,116
GARDENIA AZUL,2025,1,117
CIDADE DE DEUS,2025,1,118
CURICICA,2025,0,119
FREGUESIA-JPA,2025,0,120
PECHINCHA,2025,0,121
TAQUARA,2025,0,122
TANQUE,2025,0,123
PRACA SECA,2025,0,124
VILA VALQUEIRE,2025,0,125
ITANHANGA,2025,1,127
BARRA DA TIJUCA,2025,0,128
VARGEM PEQUENA,2025,0,130
VARGEM GRANDE,2025,0,131
RECREIO BANDEIRANTES,2025,0,132
DEODORO,2025,0,134
VILA MILITAR,2025,0,135
MAGALHAES BASTOS,2025,0,138
REALENGO,2025,1,139
PADRE MIGUEL,2025,0,140
BANGU,2025,2,141
SENADOR CAMARA,2025,3,142
SANTISSIMO,2025,0,143
CAMPO GRANDE,2025,0,144
SENADOR VASCONCELOS,2025,0,145
INHOAIBA,2025,0,146
COSMOS,2025,1,147
PACIENCIA,2025,0,148
SANTA CRUZ,2025,1,149
SEPETIBA,2025,0,150
GUARATIBA,2025,2,151
BARRA DE GUARATIBA,2025,0,152
PEDRA DE GUARATIBA,2025,1,153
ROCINHA,2025,0,154
JACAREZINHO,2025,1,155
COMPLEXO DO ALEMAO,2025,2,156
COMPLEXO DA MARE,2025,1,157
VASCO DA GAMA,2025,0,159
LAPA,2025,0,161
VILA KENNEDY,2025,0,162
IGNORADO BAIRRO-MRJ,2025,0,999
