codigo,bairro,ano,obitos_amarela,obitos_branca,obitos_indigena,obitos_parda,obitos_preta,obitos_nao_informado,nascidos_amarela,nascidos_branca,nascidos_indigena,nascidos_parda,nascidos_preta,nascidos_nao_informado,percentual_amarela,percentual_branca,percentual_indigena,percentual_parda,percentual_preta,percentual_nao_informado,obitos_total,nascidos_total,percentual_total
070,ABOLICAO,2025,0.0,1.0,0.0,1.0,0.0,0.0,1.0,44.0,0.0,44.0,18.0,2.0,0.0,2.27,,2.27,0.0,0.0,2.0,109.0,1.83
111,ACARI,2025,0.0,2.0,0.0,2.0,1.0,1.0,0.0,72.0,0.0,208.0,67.0,2.0,,2.78,,0.96,1.49,50.0,6.0,349.0,1.72
067,AGUA SANTA,2025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0,0.0,29.0,7.0,0.0,0.0,0.0,,3.45,0.0,,1.0,57.0,1.75
034,ALTO DA BOA VISTA,2025,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,36.0,13.0,1.0,,5.88,,0.0,0.0,100.0,2.0,67.0,2.99
107,ANCHIETA,2025,0.0,0.0,0.0,6.0,0.0,1.0,1.0,161.0,1.0,318.0,134.0,3.0,0.0,0.0,0.0,1.89,0.0,33.33,7.0,618.0,1.13
037,ANDARAI,2025,0.0,2.0,0.0,0.0,0.0,0.0,3.0,113.0,1.0,62.0,30.0,0.0,0.0,1.77,0.0,0.0,0.0,,2.0,209.0,0.96
116,ANIL,2025,0.0,3.0,0.0,3.0,1.0,0.0,2.0,134.0,0.0,201.0,37.0,3.0,0.0,2.24,,1.49,2.7,0.0,7.0,377.0,1.86
097,BANCARIOS,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,65.0,15.0,2.0,,0.0,,1.54,0.0,0.0,1.0,132.0,0.76
141,BANGU,2025,0.0,6.0,0.0,12.0,2.0,0.0,14.0,556.0,6.0,969.0,425.0,7.0,0.0,1.08,0.0,1.24,0.47,0.0,20.0,1977.0,1.01
128,BARRA DA TIJUCA,2025,0.0,6.0,0.0,0.0,0.0,0.0,0.0,917.0,0.0,166.0,22.0,10.0,,0.65,,0.0,0.0,0.0,6.0,1115.0,0.54
152,BARRA DE GUARATIBA,2025,0.0,1.0,0.0,1.0,0.0,0.0,1.0,38.0,0.0,64.0,13.0,1.0,0.0,2.63,,1.56,0.0,0.0,2.0,117.0,1.71
165,BARRA OLIMPICA,2025,0.0,2.0,0.0,0.0,0.0,1.0,0.0,366.0,0.0,114.0,22.0,1.0,,0.55,,0.0,0.0,100.0,3.0,503.0,0.6
112,BARROS FILHO,2025,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,94.0,38.0,0.0,,6.25,,0.0,0.0,,2.0,164.0,1.22
012,BENFICA,2025,0.0,1.0,0.0,5.0,1.0,1.0,3.0,104.0,1.0,165.0,73.0,0.0,0.0,0.96,0.0,3.03,1.37,,8.0,346.0,2.31
089,BENTO RIBEIRO,2025,0.0,2.0,0.0,2.0,1.0,0.0,0.0,92.0,0.0,133.0,72.0,3.0,,2.17,,1.5,1.39,0.0,5.0,300.0,1.67
040,BONSUCESSO,2025,0.0,1.0,0.0,2.0,0.0,0.0,1.0,127.0,0.0,198.0,65.0,1.0,0.0,0.79,,1.01,0.0,0.0,3.0,392.0,0.77
020,BOTAFOGO,2025,0.0,2.0,0.0,0.0,0.0,0.0,3.0,377.0,0.0,106.0,42.0,6.0,0.0,0.53,,0.0,0.0,0.0,2.0,534.0,0.37
045,BRAS DE PINA,2025,0.0,5.0,0.0,3.0,0.0,1.0,1.0,111.0,1.0,175.0,74.0,2.0,0.0,4.5,0.0,1.71,0.0,50.0,9.0,364.0,2.47
065,CACHAMBI,2025,0.0,3.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,104.0,34.0,2.0,,2.24,,0.0,0.0,0.0,3.0,274.0,1.09
093,CACUIA,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,43.0,11.0,1.0,,0.0,,0.0,0.0,0.0,0.0,85.0,0.0
004,CAJU,2025,0.0,4.0,0.0,3.0,1.0,1.0,1.0,78.0,0.0,173.0,52.0,1.0,0.0,5.13,,1.73,1.92,100.0,9.0,305.0,2.95
129,CAMORIM,2025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,21.0,4.0,0.0,,10.0,,0.0,0.0,,1.0,35.0,2.86
078,CAMPINHO,2025,0.0,0.0,0.0,2.0,0.0,0.0,1.0,23.0,0.0,50.0,20.0,1.0,0.0,0.0,,4.0,0.0,0.0,2.0,95.0,2.11
136,CAMPO DOS AFONSOS,2025,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,13.0,6.0,0.0,,11.76,,0.0,0.0,,2.0,36.0,5.56
144,CAMPO GRANDE,2025,0.0,17.0,0.0,21.0,1.0,1.0,24.0,1220.0,3.0,1639.0,568.0,50.0,0.0,1.39,0.0,1.28,0.18,2.0,40.0,3504.0,1.14
082,CASCADURA,2025,0.0,2.0,0.0,1.0,0.0,1.0,0.0,79.0,0.0,108.0,50.0,6.0,,2.53,,0.93,0.0,16.67,4.0,243.0,1.65
018,CATETE,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,62.0,20.0,0.0,,0.0,,0.0,0.0,,0.0,145.0,0.0
006,CATUMBI,2025,0.0,2.0,0.0,2.0,1.0,0.0,0.0,22.0,0.0,71.0,40.0,1.0,,9.09,,2.82,2.5,0.0,5.0,134.0,3.73
080,CAVALCANTE,2025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,74.0,31.0,3.0,,2.7,,1.35,0.0,0.0,2.0,145.0,1.38
005,CENTRO,2025,0.0,2.0,0.0,2.0,0.0,0.0,3.0,75.0,3.0,76.0,37.0,0.0,0.0,2.67,0.0,2.63,0.0,,4.0,194.0,2.06
118,CIDADE DE DEUS,2025,0.0,1.0,0.0,2.0,1.0,2.0,0.0,75.0,0.0,353.0,119.0,2.0,,1.33,,0.57,0.84,100.0,6.0,549.0,1.09
008,CIDADE NOVA,2025,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,22.0,10.0,0.0,,0.0,,13.64,0.0,,3.0,42.0,7.14
105,CIDADE UNIVERSITARIA,2025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,8.0,2.0,0.0,,16.67,0.0,0.0,0.0,,1.0,17.0,5.88
096,COCOTA,2025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,20.0,5.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,53.0,0.0
110,COELHO NETO,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,145.0,72.0,1.0,,0.0,,0.0,0.0,0.0,0.0,284.0,0.0
077,COLEGIO,2025,0.0,4.0,0.0,2.0,0.0,0.0,1.0,89.0,1.0,137.0,64.0,0.0,0.0,4.49,0.0,1.46,0.0,,6.0,292.0,2.05
157,COMPLEXO DA MARE,2025,0.0,2.0,0.0,9.0,2.0,2.0,8.0,389.0,4.0,854.0,231.0,8.0,0.0,0.51,0.0,1.05,0.87,25.0,15.0,1494.0,1.0
156,COMPLEXO DO ALEMAO,2025,0.0,1.0,0.0,5.0,0.0,0.0,0.0,86.0,0.0,188.0,86.0,1.0,,1.16,,2.66,0.0,0.0,6.0,361.0,1.66
024,COPACABANA,2025,0.0,5.0,0.0,2.0,0.0,0.0,3.0,475.0,1.0,185.0,95.0,13.0,0.0,1.05,0.0,1.08,0.0,0.0,7.0,772.0,0.91
046,CORDOVIL,2025,0.0,2.0,0.0,7.0,1.0,0.0,2.0,61.0,1.0,167.0,84.0,1.0,0.0,3.28,0.0,4.19,1.19,0.0,10.0,316.0,3.16
019,COSME VELHO,2025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,26.0,26.0,1.0,,6.25,,3.85,0.0,0.0,2.0,69.0,2.9
147,COSMOS,2025,0.0,5.0,0.0,16.0,0.0,0.0,8.0,205.0,0.0,510.0,214.0,17.0,0.0,2.44,,3.14,0.0,0.0,21.0,954.0,2.2
113,COSTA BARROS,2025,0.0,2.0,0.0,4.0,1.0,0.0,0.0,80.0,0.0,213.0,105.0,3.0,,2.5,,1.88,0.95,0.0,7.0,401.0,1.75
119,CURICICA,2025,0.0,1.0,0.0,4.0,0.0,0.0,1.0,107.0,0.0,206.0,54.0,1.0,0.0,0.93,,1.94,0.0,0.0,5.0,369.0,1.36
053,DEL CASTILHO,2025,0.0,2.0,0.0,0.0,0.0,1.0,1.0,107.0,0.0,91.0,35.0,2.0,0.0,1.87,,0.0,0.0,50.0,3.0,236.0,1.27
134,DEODORO,2025,0.0,0.0,0.0,2.0,0.0,0.0,0.0,47.0,0.0,53.0,23.0,1.0,,0.0,,3.77,0.0,0.0,2.0,124.0,1.61
068,ENCANTADO,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,1.0,39.0,9.0,0.0,,0.0,0.0,2.56,0.0,,1.0,81.0,1.23
081,ENGENHEIRO LEAL,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,31.0,9.0,1.0,,0.0,,3.23,0.0,0.0,1.0,51.0,1.96
055,ENGENHO DA RAINHA,2025,0.0,0.0,0.0,2.0,1.0,0.0,0.0,63.0,0.0,88.0,66.0,0.0,,0.0,,2.27,1.52,,3.0,217.0,1.38
066,ENGENHO DE DENTRO,2025,0.0,2.0,0.0,1.0,0.0,0.0,0.0,148.0,0.0,142.0,59.0,2.0,,1.35,,0.7,0.0,0.0,3.0,351.0,0.85
061,ENGENHO NOVO,2025,0.0,1.0,0.0,2.0,0.0,0.0,0.0,123.0,0.0,132.0,91.0,0.0,,0.81,,1.52,0.0,,3.0,346.0,0.87
009,ESTACIO,2025,0.0,0.0,0.0,3.0,1.0,0.0,0.0,47.0,1.0,68.0,37.0,0.0,,0.0,0.0,4.41,2.7,,4.0,153.0,2.61
015,FLAMENGO,2025,0.0,1.0,0.0,2.0,1.0,0.0,1.0,204.0,0.0,53.0,14.0,2.0,0.0,0.49,,3.77,7.14,0.0,4.0,274.0,1.46
098,FREGUESIA-ILHA,2025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,72.0,0.0,90.0,27.0,2.0,,1.39,,1.11,0.0,0.0,2.0,191.0,1.05
120,FREGUESIA-JPA,2025,0.0,0.0,0.0,3.0,1.0,0.0,0.0,281.0,2.0,209.0,60.0,1.0,,0.0,0.0,1.44,1.67,0.0,4.0,553.0,0.72
104,GALEAO,2025,0.0,0.0,0.0,0.0,1.0,0.0,1.0,84.0,1.0,133.0,27.0,2.0,0.0,0.0,0.0,0.0,3.7,0.0,1.0,248.0,0.4
002,GAMBOA,2025,0.0,0.0,0.0,2.0,0.0,0.0,1.0,46.0,0.0,71.0,31.0,1.0,0.0,0.0,,2.82,0.0,0.0,2.0,150.0,1.33
117,GARDENIA AZUL,2025,0.0,1.0,0.0,3.0,0.0,0.0,3.0,94.0,0.0,264.0,37.0,2.0,0.0,1.06,,1.14,0.0,0.0,4.0,400.0,1.0
029,GAVEA,2025,0.0,1.0,0.0,1.0,0.0,0.0,0.0,88.0,0.0,40.0,9.0,2.0,,1.14,,2.5,0.0,0.0,2.0,139.0,1.44
160,GERICINo,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,4.0,0.0,,0.0,,16.67,0.0,,1.0,14.0,7.14
016,GLORIA,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,12.0,6.0,0.0,,0.0,,0.0,0.0,,0.0,47.0,0.0
038,GRAJAU,2025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,0.0,52.0,16.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,168.0,0.0
133,GRUMARI,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,
106,GUADALUPE,2025,0.0,2.0,0.0,2.0,0.0,1.0,1.0,102.0,0.0,187.0,64.0,1.0,0.0,1.96,,1.07,0.0,100.0,5.0,355.0,1.41
151,GUARATIBA,2025,0.0,4.0,0.0,7.0,2.0,0.0,7.0,522.0,2.0,1013.0,292.0,31.0,0.0,0.77,0.0,0.69,0.68,0.0,13.0,1867.0,0.7
050,HIGIENOPOLIS,2025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0.0,49.0,24.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,118.0,0.0
087,HONORIO GURGEL,2025,0.0,4.0,0.0,0.0,1.0,1.0,1.0,51.0,0.0,89.0,42.0,0.0,0.0,7.84,,0.0,2.38,,6.0,183.0,3.28
021,HUMAITA,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,13.0,5.0,0.0,,0.0,,7.69,0.0,,1.0,69.0,1.45
999,IGNORADO BAIRRO-MRJ,2025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,10.0,3.0,0.0,0.0,0.0,,0.0,0.0,,0.0,19.0,0.0
164,ILHA DE GUARATIBA,2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,48.0,3.0,1.0,,0.0,,2.08,0.0,0.0,1.0,81.0,1.23
998,ILHA DO GOVERNADOR - IGNORADO,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,0.0,,0.0,,0.0,0.0,,0.0,12.0,0.0
054,INHAUMA,2025,0.0,2.0,0.0,4.0,0.0,0.0,0.0,157.0,1.0,263.0,115.0,3.0,,1.27,0.0,1.52,0.0,0.0,6.0,539.0,1.11
146,INHOAIBA,2025,0.0,4.0,0.0,3.0,0.0,0.0,3.0,194.0,0.0,403.0,147.0,5.0,0.0,2.06,,0.74,0.0,0.0,7.0,752.0,0.93
025,IPANEMA,2025,0.0,5.0,0.0,0.0,0.0,1.0,1.0,197.0,1.0,33.0,10.0,5.0,0.0,2.54,0.0,0.0,0.0,20.0,6.0,247.0,2.43
076,IRAJA,2025,0.0,5.0,0.0,3.0,0.0,1.0,1.0,259.0,1.0,297.0,116.0,9.0,0.0,1.93,0.0,1.01,0.0,11.11,9.0,683.0,1.32
127,ITANHANGA,2025,0.0,6.0,0.0,4.0,0.0,1.0,8.0,251.0,2.0,470.0,55.0,5.0,0.0,2.39,0.0,0.85,0.0,20.0,11.0,791.0,1.39
163,JABOUR,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,1.0,0.0,,0.0,,0.0,0.0,,0.0,17.0,0.0
051,JACARE,2025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,86.0,44.0,0.0,0.0,0.0,,0.0,0.0,,0.0,166.0,0.0
115,JACAREPAGUA,2025,0.0,13.0,0.0,16.0,1.0,2.0,4.0,578.0,1.0,1077.0,208.0,10.0,0.0,2.25,0.0,1.49,0.48,20.0,32.0,1878.0,1.7
155,JACAREZINHO,2025,0.0,0.0,0.0,2.0,2.0,0.0,1.0,56.0,0.0,144.0,92.0,0.0,0.0,0.0,,1.39,2.17,,4.0,293.0,1.37
049,JARDIM AMERICA,2025,0.0,1.0,0.0,1.0,0.0,0.0,1.0,84.0,0.0,135.0,44.0,2.0,0.0,1.19,,0.74,0.0,0.0,2.0,266.0,0.75
028,JARDIM BOTANICO,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,13.0,5.0,2.0,,0.0,,0.0,0.0,0.0,0.0,86.0,0.0
100,JARDIM CARIOCA,2025,0.0,1.0,0.0,1.0,0.0,1.0,0.0,78.0,0.0,96.0,24.0,1.0,,1.28,,1.04,0.0,100.0,3.0,199.0,1.51
