,ano,Nascidos vivos,Nascidos abaixo peso,percentual abaixo do peso
0,2006,185262,18612,10.046312789454934
1,2007,183548,18570,10.117244535489354
2,2008,184410,18560,10.064530123095276
3,2009,189176,19278,10.190510424155285
4,2010,183620,18384,10.011981265657335
5,2011,171450,15900,9.273840769903762
6,2012,172042,16188,9.409330279815393
7,2013,174846,16034,9.170355627237683
8,2014,179520,16506,9.19451871657754
9,2015,180606,16786,9.29426486384727
10,2016,165708,15368,9.274144881357568
11,2017,168678,15432,9.148792373634972
12,2018,164968,15292,9.269676543329615
13,2019,152954,14310,9.35575401754776
14,2020,144828,13684,9.448449194907061
15,2021,136824,13018,9.51441267613869
16,2022,144976,15176,10.467939521024169
17,2023,141050,14996,10.631690889755406
18,2024,128564,13066,10.163031641828194
19,2025,131014,13446,10.263025325537729
